ds,y
2013-01-01,0.0
2013-01-02,255.0
2013-01-03,161.0
2013-01-04,169.0
2013-01-05,342.0
2013-01-06,360.0
2013-01-07,189.0
2013-01-08,229.0
2013-01-09,164.0
2013-01-10,164.0
2013-01-11,162.0
2013-01-12,280.0
2013-01-13,326.0
2013-01-14,162.0
2013-01-15,165.0
2013-01-16,171.0
2013-01-17,192.0
2013-01-18,170.0
2013-01-19,281.0
2013-01-20,370.0
2013-01-21,189.0
2013-01-22,163.0
2013-01-23,198.0
2013-01-24,156.0
2013-01-25,177.0
2013-01-26,302.0
2013-01-27,332.0
2013-01-28,171.0
2013-01-29,177.0
2013-01-30,209.0
2013-01-31,171.0
2013-02-01,254.0
2013-02-02,405.0
2013-02-03,420.0
2013-02-04,266.0
2013-02-05,269.0
2013-02-06,220.0
2013-02-07,206.0
2013-02-08,309.0
2013-02-09,402.0
2013-02-10,268.0
2013-02-11,216.0
2013-02-12,320.0
2013-02-13,208.0
2013-02-14,161.0
2013-02-15,178.0
2013-02-16,377.0
2013-02-17,334.0
2013-02-18,182.0
2013-02-19,237.0
2013-02-20,239.0
2013-02-21,164.0
2013-02-22,181.0
2013-02-23,275.0
2013-02-24,390.0
2013-02-25,220.0
2013-02-26,170.0
2013-02-27,173.0
2013-02-28,176.0
2013-03-01,198.0
2013-03-02,353.0
2013-03-03,383.0
2013-03-04,188.0
2013-03-05,139.0
2013-03-06,233.0
2013-03-07,201.0
2013-03-08,166.0
2013-03-09,272.0
2013-03-10,321.0
2013-03-11,196.0
2013-03-12,149.0
2013-03-13,175.0
2013-03-14,174.0
2013-03-15,172.0
2013-03-16,370.0
2013-03-17,360.0
2013-03-18,228.0
2013-03-19,259.0
2013-03-20,181.0
2013-03-21,206.0
2013-03-22,237.0
2013-03-23,344.0
2013-03-24,313.0
2013-03-25,227.0
2013-03-26,183.0
2013-03-27,216.0
2013-03-28,232.0
2013-03-29,317.0
2013-03-30,336.0
2013-03-31,306.0
2013-04-01,244.0
2013-04-02,235.0
2013-04-03,188.0
2013-04-04,193.0
2013-04-05,219.0
2013-04-06,341.0
2013-04-07,345.0
2013-04-08,223.0
2013-04-09,196.0
2013-04-10,199.0
2013-04-11,165.0
2013-04-12,239.0
2013-04-13,307.0
2013-04-14,357.0
2013-04-15,215.0
2013-04-16,221.0
2013-04-17,214.0
2013-04-18,166.0
2013-04-19,268.0
2013-04-20,366.0
2013-04-21,361.0
2013-04-22,206.0
2013-04-23,203.0
2013-04-24,268.0
2013-04-25,244.0
2013-04-26,194.0
2013-04-27,298.0
2013-04-28,348.0
2013-04-29,264.0
2013-04-30,198.0
2013-05-01,330.0
2013-05-02,278.0
2013-05-03,186.0
2013-05-04,383.0
2013-05-05,407.0
2013-05-06,213.0
2013-05-07,215.0
2013-05-08,235.0
2013-05-09,219.0
2013-05-10,265.0
2013-05-11,405.0
2013-05-12,260.0
2013-05-13,264.0
2013-05-14,226.0
2013-05-15,211.0
2013-05-16,291.0
2013-05-17,254.0
2013-05-18,410.0
2013-05-19,423.0
2013-05-20,311.0
2013-05-21,231.0
2013-05-22,284.0
2013-05-23,308.0
2013-05-24,362.0
2013-05-25,368.0
2013-05-26,360.0
2013-05-27,232.0
2013-05-28,269.0
2013-05-29,268.0
2013-05-30,318.0
2013-05-31,248.0
2013-06-01,359.0
2013-06-02,416.0
2013-06-03,277.0
2013-06-04,199.0
2013-06-05,247.0
2013-06-06,206.0
2013-06-07,254.0
2013-06-08,335.0
2013-06-09,435.0
2013-06-10,216.0
2013-06-11,166.0
2013-06-12,225.0
2013-06-13,274.0
2013-06-14,242.0
2013-06-15,350.0
