ds,y
2013-01-01,2.0
2013-01-02,207.0
2013-01-03,125.0
2013-01-04,133.0
2013-01-05,191.0
2013-01-06,265.0
2013-01-07,124.0
2013-01-08,116.0
2013-01-09,104.0
2013-01-10,96.0
2013-01-11,95.0
2013-01-12,165.0
2013-01-13,228.0
2013-01-14,89.0
2013-01-15,110.0
2013-01-16,139.0
2013-01-17,116.0
2013-01-18,89.0
2013-01-19,166.0
2013-01-20,216.0
2013-01-21,123.0
2013-01-22,106.0
2013-01-23,86.0
2013-01-24,76.0
2013-01-25,92.0
2013-01-26,167.0
2013-01-27,181.0
2013-01-28,113.0
2013-01-29,90.0
2013-01-30,95.0
2013-01-31,114.0
2013-02-01,146.0
2013-02-02,239.0
2013-02-03,246.0
2013-02-04,150.0
2013-02-05,132.0
2013-02-06,132.0
2013-02-07,108.0
2013-02-08,141.0
2013-02-09,177.0
2013-02-10,111.0
2013-02-11,115.0
2013-02-12,134.0
2013-02-13,107.0
2013-02-14,80.0
2013-02-15,104.0
2013-02-16,217.0
2013-02-17,175.0
2013-02-18,111.0
2013-02-19,104.0
2013-02-20,118.0
2013-02-21,96.0
2013-02-22,90.0
2013-02-23,141.0
2013-02-24,192.0
2013-02-25,112.0
2013-02-26,83.0
2013-02-27,82.0
2013-02-28,104.0
2013-03-01,125.0
2013-03-02,209.0
2013-03-03,238.0
2013-03-04,127.0
2013-03-05,94.0
2013-03-06,88.0
2013-03-07,100.0
2013-03-08,89.0
2013-03-09,171.0
2013-03-10,208.0
2013-03-11,92.0
2013-03-12,111.0
2013-03-13,95.0
2013-03-14,100.0
2013-03-15,80.0
2013-03-16,168.0
2013-03-17,192.0
2013-03-18,109.0
2013-03-19,85.0
2013-03-20,101.0
2013-03-21,78.0
2013-03-22,73.0
2013-03-23,132.0
2013-03-24,162.0
2013-03-25,111.0
2013-03-26,83.0
2013-03-27,96.0
2013-03-28,96.0
2013-03-29,137.0
2013-03-30,158.0
2013-03-31,193.0
2013-04-01,141.0
2013-04-02,118.0
2013-04-03,89.0
2013-04-04,92.0
2013-04-05,87.0
2013-04-06,182.0
2013-04-07,196.0
2013-04-08,120.0
2013-04-09,105.0
2013-04-10,105.0
2013-04-11,98.0
2013-04-12,102.0
2013-04-13,161.0
2013-04-14,187.0
2013-04-15,105.0
2013-04-16,116.0
2013-04-17,90.0
2013-04-18,68.0
2013-04-19,70.0
2013-04-20,190.0
2013-04-21,199.0
2013-04-22,104.0
2013-04-23,107.0
2013-04-24,101.0
2013-04-25,91.0
2013-04-26,87.0
2013-04-27,153.0
2013-04-28,202.0
2013-04-29,105.0
2013-04-30,99.0
2013-05-01,207.0
2013-05-02,119.0
2013-05-03,125.0
2013-05-04,199.0
2013-05-05,214.0
2013-05-06,122.0
2013-05-07,108.0
2013-05-08,110.0
2013-05-09,100.0
2013-05-10,86.0
2013-05-11,178.0
2013-05-12,132.0
2013-05-13,104.0
2013-05-14,83.0
2013-05-15,116.0
2013-05-16,80.0
2013-05-17,99.0
2013-05-18,142.0
2013-05-19,169.0
2013-05-20,100.0
2013-05-21,84.0
2013-05-22,104.0
2013-05-23,105.0
2013-05-24,123.0
2013-05-25,153.0
2013-05-26,160.0
2013-05-27,81.0
2013-05-28,66.0
2013-05-29,75.0
2013-05-30,75.0
2013-05-31,97.0
2013-06-01,182.0
2013-06-02,233.0
2013-06-03,147.0
2013-06-04,126.0
2013-06-05,85.0
2013-06-06,105.0
2013-06-07,98.0
2013-06-08,146.0
2013-06-09,197.0
2013-06-10,121.0
2013-06-11,65.0
2013-06-12,106.0
2013-06-13,75.0
2013-06-14,91.0
2013-06-15,172.0
2013-06-16,143.0
2013-06-17,120.0
2013-06-18,94.0
2013-06-19,110.0
2013-06-20,88.0
2013-06-21,84.0
2013-06-22,138.0
2013-06-23,205.0
2013-06-24,104.0
2013-06-25,98.0
2013-06-26,111.0
2013-06-27,73.0
2013-06-28,94.0
2013-06-29,202.0
2013-06-30,229.0
2013-07-01,167.0
2013-07-02,121.0
2013-07-03,130.0
2013-07-04,104.0
2013-07-05,132.0
2013-07-06,226.0
2013-07-07,269.0
2013-07-08,143.0
2013-07-09,124.0
2013-07-10,132.0
2013-07-11,105.0
2013-07-12,130.0
2013-07-13,217.0
2013-07-14,238.0
2013-07-15,135.0
2013-07-16,144.0
2013-07-17,154.0
2013-07-18,125.0
2013-07-19,130.0
2013-07-20,200.0
2013-07-21,195.0
2013-07-22,144.0
2013-07-23,148.0
2013-07-24,127.0
2013-07-25,143.0
2013-07-26,119.0
2013-07-27,174.0
2013-07-28,213.0
2013-07-29,122.0
2013-07-30,133.0
2013-07-31,136.0
2013-08-01,202.0
2013-08-02,141.0
2013-08-03,214.0
2013-08-04,252.0
2013-08-05,157.0
2013-08-06,146.0
2013-08-07,121.0
2013-08-08,119.0
2013-08-09,126.0
2013-08-10,165.0
2013-08-11,238.0
2013-08-12,143.0
2013-08-13,171.0
2013-08-14,124.0
2013-08-15,126.0
2013-08-16,163.0
2013-08-17,196.0
2013-08-18,223.0
2013-08-19,173.0
2013-08-20,134.0
2013-08-21,136.0
2013-08-22,96.0
2013-08-23,118.0
2013-08-24,156.0
2013-08-25,182.0
2013-08-26,112.0
2013-08-27,99.0
2013-08-28,105.0
2013-08-29,74.0
2013-08-30,112.0
2013-08-31,196.0
2013-09-01,272.0
2013-09-02,152.0
2013-09-03,141.0
2013-09-04,91.0
2013-09-05,79.0
2013-09-06,82.0
2013-09-07,159.0
2013-09-08,202.0
2013-09-09,110.0
2013-09-10,82.0
2013-09-11,74.0
2013-09-12,106.0
2013-09-13,87.0
2013-09-14,136.0
2013-09-15,192.0
2013-09-16,114.0
2013-09-17,87.0
2013-09-18,83.0
2013-09-19,88.0
2013-09-20,78.0
2013-09-21,164.0
2013-09-22,181.0
2013-09-23,100.0
2013-09-24,78.0
2013-09-25,70.0
2013-09-26,79.0
2013-09-27,75.0
2013-09-28,140.0
2013-09-29,197.0
2013-09-30,108.0
2013-10-01,126.0
2013-10-02,138.0
2013-10-03,88.0
2013-10-04,109.0
2013-10-05,178.0
2013-10-06,194.0
2013-10-07,108.0
2013-10-08,94.0
2013-10-09,107.0
2013-10-10,93.0
2013-10-11,123.0
2013-10-12,150.0
2013-10-13,179.0
2013-10-14,77.0
2013-10-15,79.0
2013-10-16,117.0
2013-10-17,82.0
2013-10-18,92.0
2013-10-19,197.0
2013-10-20,230.0
2013-10-21,122.0
2013-10-22,108.0
2013-10-23,90.0
2013-10-24,77.0
2013-10-25,84.0
2013-10-26,148.0
2013-10-27,175.0
2013-10-28,114.0
2013-10-29,98.0
2013-10-30,87.0
2013-10-31,89.0
2013-11-01,102.0
2013-11-02,178.0
2013-11-03,206.0
2013-11-04,155.0
2013-11-05,104.0
2013-11-06,105.0
2013-11-07,102.0
2013-11-08,93.0
2013-11-09,166.0
2013-11-10,197.0
2013-11-11,86.0
2013-11-12,95.0
2013-11-13,84.0
2013-11-14,59.0
2013-11-15,74.0
2013-11-16,154.0
2013-11-17,183.0
2013-11-18,101.0
2013-11-19,80.0
2013-11-20,82.0
2013-11-21,71.0
2013-11-22,70.0
2013-11-23,138.0
2013-11-24,139.0
2013-11-25,105.0
2013-11-26,79.0
2013-11-27,80.0
2013-11-28,85.0
2013-11-29,91.0
2013-11-30,182.0
2013-12-01,207.0
2013-12-02,140.0
2013-12-03,110.0
2013-12-04,108.0
2013-12-05,93.0
2013-12-06,111.0
2013-12-07,194.0
2013-12-08,181.0
2013-12-09,88.0
2013-12-10,87.0
2013-12-11,94.0
2013-12-12,84.0
2013-12-13,93.0
2013-12-14,159.0
2013-12-15,212.0
2013-12-16,140.0
2013-12-17,83.0
2013-12-18,102.0
2013-12-19,95.0
2013-12-20,118.0
2013-12-21,187.0
2013-12-22,209.0
2013-12-23,181.0
2013-12-24,154.0
2013-12-26,169.0
2013-12-27,143.0
2013-12-28,198.0
2013-12-29,161.0
2013-12-30,163.0
2013-12-31,107.0
2014-01-01,2.0
2014-01-02,198.0
2014-01-03,155.0
2014-01-04,215.0
2014-01-05,239.0
2014-01-06,121.0
2014-01-07,99.0
2014-01-08,100.0
2014-01-09,99.0
2014-01-10,78.0
2014-01-11,172.0
2014-01-12,198.0
2014-01-13,107.0
2014-01-14,99.0
2014-01-15,99.0
2014-01-16,96.0
2014-01-17,113.0
2014-01-18,164.0
2014-01-19,239.0
2014-01-20,114.0
2014-01-21,121.0
2014-01-22,112.0
2014-01-23,102.0
2014-01-24,115.0
2014-01-25,185.0
2014-01-26,221.0
2014-01-27,105.0
2014-01-28,113.0
2014-01-29,114.0
2014-01-30,101.0
2014-01-31,137.0
2014-02-01,241.0
2014-02-02,227.0
2014-02-03,136.0
2014-02-04,124.0
2014-02-05,106.0
2014-02-06,116.0
2014-02-07,95.0
2014-02-08,179.0
2014-02-09,167.0
2014-02-10,114.0
2014-02-11,76.0
2014-02-12,99.0
2014-02-13,79.0
2014-02-14,77.0
2014-02-15,199.0
2014-02-16,191.0
2014-02-17,106.0
2014-02-18,100.0
2014-02-19,91.0
2014-02-20,85.0
2014-02-21,76.0
2014-02-22,180.0
2014-02-23,154.0
2014-02-24,112.0
2014-02-25,97.0
2014-02-26,96.0
2014-02-27,94.0
2014-02-28,161.0
2014-03-01,297.0
2014-03-02,201.0
2014-03-03,160.0
2014-03-04,236.0
2014-03-05,169.0
2014-03-06,152.0
2014-03-07,133.0
2014-03-08,197.0
2014-03-09,258.0
2014-03-10,150.0
2014-03-11,122.0
2014-03-12,92.0
2014-03-13,108.0
2014-03-14,110.0
2014-03-15,187.0
2014-03-16,248.0
2014-03-17,161.0
2014-03-18,115.0
2014-03-19,127.0
2014-03-20,102.0
2014-03-21,120.0
2014-03-22,208.0
2014-03-23,245.0
2014-03-24,143.0
2014-03-25,116.0
2014-03-26,117.0
2014-03-27,108.0
2014-03-28,134.0
2014-03-29,223.0
2014-03-30,262.0
2014-03-31,165.0
2014-04-01,133.0
2014-04-02,115.0
2014-04-03,107.0
2014-04-04,108.0
2014-04-05,207.0
2014-04-06,256.0
2014-04-07,117.0
2014-04-08,103.0
2014-04-09,108.0
2014-04-10,85.0
2014-04-11,85.0
2014-04-12,160.0
2014-04-13,204.0
2014-04-14,94.0
2014-04-15,97.0
2014-04-16,139.0
2014-04-17,111.0
2014-04-18,138.0
2014-04-19,165.0
2014-04-20,210.0
2014-04-21,116.0
2014-04-22,119.0
2014-04-23,100.0
2014-04-24,91.0
2014-04-25,78.0
2014-04-26,161.0
2014-04-27,220.0
2014-04-28,77.0
2014-04-29,85.0
2014-04-30,90.0
2014-05-01,175.0
2014-05-02,102.0
2014-05-03,205.0
2014-05-04,236.0
2014-05-05,103.0
2014-05-06,118.0
2014-05-07,108.0
2014-05-08,93.0
2014-05-09,75.0
2014-05-10,144.0
2014-05-11,151.0
2014-05-12,106.0
2014-05-13,77.0
2014-05-14,81.0
2014-05-15,71.0
2014-05-16,92.0
2014-05-17,159.0
2014-05-18,196.0
2014-05-19,102.0
2014-05-20,84.0
2014-05-21,87.0
2014-05-22,74.0
2014-05-23,67.0
2014-05-24,137.0
2014-05-25,189.0
2014-05-26,98.0
2014-05-27,78.0
2014-05-28,70.0
2014-05-29,75.0
2014-05-30,93.0
2014-05-31,176.0
2014-06-01,235.0
2014-06-02,126.0
2014-06-03,122.0
2014-06-04,104.0
2014-06-05,85.0
2014-06-06,89.0
2014-06-07,166.0
2014-06-08,198.0
2014-06-09,115.0
2014-06-10,72.0
2014-06-11,85.0
2014-06-12,72.0
2014-06-13,88.0
2014-06-14,153.0
2014-06-15,128.0
2014-06-16,111.0
2014-06-17,85.0
2014-06-18,99.0
2014-06-19,93.0
2014-06-20,67.0
2014-06-21,170.0
2014-06-22,203.0
2014-06-23,104.0
2014-06-24,66.0
2014-06-25,75.0
2014-06-26,96.0
2014-06-27,88.0
2014-06-28,142.0
2014-06-29,183.0
2014-06-30,125.0
2014-07-01,183.0
2014-07-02,162.0
2014-07-03,151.0
2014-07-04,137.0
2014-07-05,207.0
2014-07-06,257.0
2014-07-07,149.0
2014-07-08,134.0
2014-07-09,107.0
2014-07-10,119.0
2014-07-11,117.0
2014-07-12,188.0
2014-07-13,191.0
2014-07-14,169.0
2014-07-15,129.0
2014-07-16,156.0
2014-07-17,127.0
2014-07-18,117.0
2014-07-19,207.0
2014-07-20,233.0
2014-07-21,145.0
2014-07-22,131.0
2014-07-23,156.0
2014-07-24,155.0
2014-07-25,148.0
2014-07-26,198.0
2014-07-27,210.0
2014-07-28,155.0
2014-07-29,155.0
2014-07-30,144.0
2014-07-31,159.0
2014-08-01,159.0
2014-08-02,264.0
2014-08-03,291.0
2014-08-04,202.0
2014-08-05,164.0
2014-08-06,140.0
2014-08-07,127.0
2014-08-08,130.0
2014-08-09,219.0
2014-08-10,222.0
2014-08-11,118.0
2014-08-12,115.0
2014-08-13,138.0
2014-08-14,118.0
2014-08-15,123.0
2014-08-16,196.0
2014-08-17,222.0
2014-08-18,143.0
2014-08-19,143.0
2014-08-20,137.0
2014-08-21,118.0
2014-08-22,104.0
2014-08-23,182.0
2014-08-24,185.0
2014-08-25,125.0
2014-08-26,105.0
2014-08-27,90.0
2014-08-28,97.0
2014-08-29,125.0
2014-08-30,223.0
2014-08-31,250.0
2014-09-01,237.0
2014-09-02,194.0
2014-09-03,183.0
2014-09-04,145.0
2014-09-05,134.0
2014-09-06,262.0
2014-09-07,290.0
2014-09-08,165.0
2014-09-09,145.0
2014-09-10,158.0
2014-09-11,87.0
2014-09-12,101.0
2014-09-13,202.0
2014-09-14,288.0
2014-09-15,143.0
2014-09-16,141.0
2014-09-17,139.0
2014-09-18,102.0
2014-09-19,109.0
2014-09-20,208.0
2014-09-21,260.0
2014-09-22,123.0
2014-09-23,117.0
2014-09-24,105.0
2014-09-25,125.0
2014-09-26,104.0
2014-09-27,214.0
2014-09-28,234.0
2014-09-29,139.0
2014-09-30,136.0
2014-10-01,209.0
2014-10-02,170.0
2014-10-03,132.0
2014-10-04,272.0
2014-10-05,369.0
2014-10-06,171.0
2014-10-07,155.0
2014-10-08,131.0
2014-10-09,139.0
2014-10-10,160.0
2014-10-11,199.0
2014-10-12,261.0
2014-10-13,135.0
2014-10-14,105.0
2014-10-15,117.0
2014-10-16,129.0
2014-10-17,133.0
2014-10-18,223.0
2014-10-19,240.0
2014-10-20,147.0
2014-10-21,113.0
2014-10-22,123.0
2014-10-23,114.0
2014-10-24,106.0
2014-10-25,175.0
2014-10-26,225.0
2014-10-27,135.0
2014-10-28,103.0
2014-10-29,127.0
2014-10-30,106.0
2014-10-31,117.0
2014-11-01,266.0
2014-11-02,227.0
2014-11-03,311.0
2014-11-04,183.0
2014-11-05,172.0
2014-11-06,126.0
2014-11-07,121.0
2014-11-08,235.0
2014-11-09,283.0
2014-11-10,136.0
2014-11-11,124.0
2014-11-12,126.0
2014-11-13,108.0
2014-11-14,101.0
2014-11-15,242.0
2014-11-16,279.0
2014-11-17,188.0
2014-11-18,137.0
2014-11-19,128.0
2014-11-20,111.0
2014-11-21,112.0
2014-11-22,149.0
2014-11-23,257.0
2014-11-24,154.0
2014-11-25,109.0
2014-11-26,96.0
2014-11-27,104.0
2014-11-28,110.0
2014-11-29,244.0
2014-11-30,283.0
2014-12-01,205.0
2014-12-02,180.0
2014-12-03,148.0
2014-12-04,121.0
2014-12-05,148.0
2014-12-06,211.0
2014-12-07,278.0
2014-12-08,169.0
2014-12-09,146.0
2014-12-10,118.0
2014-12-11,151.0
2014-12-12,135.0
2014-12-13,245.0
2014-12-14,322.0
2014-12-15,190.0
2014-12-16,190.0
2014-12-17,166.0
2014-12-18,191.0
2014-12-19,175.0
2014-12-20,254.0
2014-12-21,353.0
2014-12-22,252.0
2014-12-23,234.0
2014-12-24,249.0
2014-12-26,326.0
2014-12-27,289.0
2014-12-28,313.0
2014-12-29,256.0
2014-12-30,252.0
2014-12-31,193.0
2015-01-01,3.0
2015-01-02,248.0
2015-01-03,205.0
2015-01-04,264.0
2015-01-05,154.0
2015-01-06,138.0
2015-01-07,141.0
2015-01-08,127.0
2015-01-09,114.0
2015-01-10,178.0
2015-01-11,266.0
2015-01-12,142.0
2015-01-13,94.0
2015-01-14,104.0
2015-01-15,109.0
2015-01-16,84.0
2015-01-17,146.0
2015-01-18,193.0
2015-01-19,104.0
2015-01-20,96.0
2015-01-21,71.0
2015-01-22,71.0
2015-01-23,85.0
2015-01-24,150.0
2015-01-25,183.0
2015-01-26,84.0
2015-01-27,79.0
2015-01-28,68.0
2015-01-29,92.0
2015-01-30,126.0
2015-01-31,241.0
2015-02-01,333.0
2015-02-02,201.0
2015-02-03,174.0
2015-02-04,158.0
2015-02-05,153.0
2015-02-06,142.0
2015-02-07,237.0
2015-02-08,280.0
2015-02-09,150.0
2015-02-10,136.0
2015-02-11,146.0
2015-02-12,109.0
2015-02-13,157.0
2015-02-14,183.0
2015-02-15,138.0
2015-02-16,141.0
2015-02-17,213.0
2015-02-18,133.0
2015-02-19,101.0
2015-02-20,115.0
2015-02-21,134.0
2015-02-22,218.0
2015-02-23,89.0
2015-02-24,88.0
2015-02-25,97.0
2015-02-26,91.0
2015-02-27,90.0
2015-02-28,170.0
2015-03-01,267.0
2015-03-02,133.0
2015-03-03,130.0
2015-03-04,128.0
2015-03-05,106.0
2015-03-06,118.0
2015-03-07,187.0
2015-03-08,246.0
2015-03-09,141.0
2015-03-10,130.0
2015-03-11,146.0
2015-03-12,94.0
2015-03-13,118.0
2015-03-14,201.0
2015-03-15,199.0
2015-03-16,104.0
2015-03-17,96.0
2015-03-18,87.0
2015-03-19,86.0
2015-03-20,81.0
2015-03-21,191.0
2015-03-22,203.0
2015-03-23,134.0
2015-03-24,117.0
2015-03-25,101.0
2015-03-26,94.0
2015-03-27,84.0
2015-03-28,138.0
2015-03-29,189.0
2015-03-30,89.0
2015-03-31,111.0
2015-04-01,125.0
2015-04-02,121.0
2015-04-03,155.0
2015-04-04,198.0
2015-04-05,193.0
2015-04-06,145.0
2015-04-07,118.0
2015-04-08,119.0
2015-04-09,89.0
2015-04-10,99.0
2015-04-11,188.0
2015-04-12,218.0
2015-04-13,97.0
2015-04-14,106.0
2015-04-15,104.0
2015-04-16,108.0
2015-04-17,108.0
2015-04-18,195.0
2015-04-19,213.0
2015-04-20,99.0
2015-04-21,118.0
2015-04-22,110.0
2015-04-23,104.0
2015-04-24,82.0
2015-04-25,166.0
2015-04-26,212.0
2015-04-27,102.0
2015-04-28,97.0
2015-04-29,100.0
2015-04-30,109.0
2015-05-01,223.0
2015-05-02,256.0
2015-05-03,292.0
2015-05-04,167.0
2015-05-05,119.0
2015-05-06,120.0
2015-05-07,118.0
2015-05-08,88.0
2015-05-09,252.0
2015-05-10,166.0
2015-05-11,140.0
2015-05-12,110.0
2015-05-13,107.0
2015-05-14,99.0
2015-05-15,118.0
2015-05-16,205.0
2015-05-17,276.0
2015-05-18,106.0
2015-05-19,113.0
2015-05-20,112.0
2015-05-21,120.0
2015-05-22,94.0
2015-05-23,206.0
2015-05-24,250.0
2015-05-25,141.0
2015-05-26,120.0
2015-05-27,109.0
2015-05-28,99.0
2015-05-29,135.0
2015-05-30,285.0
2015-05-31,296.0
2015-06-01,268.0
2015-06-02,224.0
2015-06-03,191.0
2015-06-04,188.0
2015-06-05,191.0
2015-06-06,317.0
2015-06-07,370.0
2015-06-08,187.0
2015-06-09,185.0
2015-06-10,139.0
2015-06-11,115.0
2015-06-12,156.0
2015-06-13,228.0
2015-06-14,291.0
2015-06-15,157.0
2015-06-16,162.0
2015-06-17,140.0
2015-06-18,115.0
2015-06-19,135.0
2015-06-20,227.0
2015-06-21,225.0
2015-06-22,170.0
2015-06-23,140.0
2015-06-24,127.0
2015-06-25,155.0
2015-06-26,100.0
2015-06-27,203.0
2015-06-28,288.0
2015-06-29,140.0
2015-06-30,146.0
2015-07-01,209.0
2015-07-02,149.0
2015-07-03,148.0
2015-07-04,267.0
2015-07-05,218.0
2015-07-06,164.0
2015-07-07,144.0
2015-07-08,147.0
2015-07-09,133.0
2015-07-10,127.0
2015-07-11,174.0
2015-07-12,235.0
2015-07-13,132.0
2015-07-14,125.0
2015-07-15,142.0
2015-07-16,128.0
2015-07-17,131.0
2015-07-18,167.0
2015-07-19,229.0
2015-07-20,150.0
2015-07-21,115.0
2015-07-22,118.0
2015-07-23,128.0
2015-07-24,101.0
2015-07-25,177.0
2015-07-26,235.0
2015-07-27,145.0
2015-07-28,140.0
2015-07-29,131.0
2015-07-30,142.0
2015-07-31,154.0
2015-08-01,328.0
2015-08-02,318.0
2015-08-03,210.0
2015-08-04,200.0
2015-08-05,168.0
2015-08-06,174.0
2015-08-07,175.0
2015-08-08,235.0
2015-08-09,205.0
2015-08-10,247.0
2015-08-11,159.0
2015-08-12,164.0
2015-08-13,151.0
2015-08-14,155.0
2015-08-15,251.0
2015-08-16,313.0
2015-08-17,175.0
2015-08-18,166.0
2015-08-19,176.0
2015-08-20,133.0
2015-08-21,178.0
2015-08-22,266.0
2015-08-23,291.0
2015-08-24,196.0
2015-08-25,175.0
2015-08-26,140.0
2015-08-27,149.0
2015-08-28,145.0
2015-08-29,269.0
2015-08-30,337.0
2015-08-31,167.0
2015-09-01,254.0
2015-09-02,225.0
2015-09-03,194.0
2015-09-04,184.0
2015-09-05,331.0
2015-09-06,363.0
2015-09-07,229.0
2015-09-08,165.0
2015-09-09,168.0
2015-09-10,143.0
2015-09-11,144.0
2015-09-12,239.0
2015-09-13,342.0
2015-09-14,172.0
2015-09-15,184.0
2015-09-16,178.0
2015-09-17,165.0
2015-09-18,154.0
2015-09-19,278.0
2015-09-20,324.0
2015-09-21,166.0
2015-09-22,146.0
2015-09-23,156.0
2015-09-24,143.0
2015-09-25,167.0
2015-09-26,276.0
2015-09-27,344.0
2015-09-28,169.0
2015-09-29,150.0
2015-09-30,185.0
2015-10-01,268.0
2015-10-02,298.0
2015-10-03,472.0
2015-10-04,553.0
2015-10-05,246.0
2015-10-06,249.0
2015-10-07,208.0
2015-10-08,168.0
2015-10-09,281.0
2015-10-10,274.0
2015-10-11,330.0
2015-10-12,181.0
2015-10-13,139.0
2015-10-14,167.0
2015-10-15,149.0
2015-10-16,168.0
2015-10-17,295.0
2015-10-18,333.0
2015-10-19,189.0
2015-10-20,186.0
2015-10-21,175.0
2015-10-22,142.0
2015-10-23,165.0
2015-10-24,283.0
2015-10-25,350.0
2015-10-26,182.0
2015-10-27,178.0
2015-10-28,153.0
2015-10-29,136.0
2015-10-30,167.0
2015-10-31,325.0
2015-11-01,327.0
2015-11-02,285.0
2015-11-03,419.0
2015-11-04,259.0
2015-11-05,216.0
2015-11-06,193.0
2015-11-07,324.0
2015-11-08,383.0
2015-11-09,242.0
2015-11-10,190.0
2015-11-11,174.0
2015-11-12,154.0
2015-11-13,162.0
2015-11-14,325.0
2015-11-15,419.0
2015-11-16,224.0
2015-11-17,214.0
2015-11-18,215.0
2015-11-19,196.0
2015-11-20,197.0
2015-11-21,309.0
2015-11-22,409.0
2015-11-23,226.0
2015-11-24,197.0
2015-11-25,211.0
2015-11-26,177.0
2015-11-27,178.0
2015-11-28,330.0
2015-11-29,466.0
2015-11-30,263.0
2015-12-01,329.0
2015-12-02,281.0
2015-12-03,235.0
2015-12-04,213.0
2015-12-05,356.0
2015-12-06,438.0
2015-12-07,257.0
2015-12-08,202.0
2015-12-09,226.0
2015-12-10,187.0
2015-12-11,224.0
2015-12-12,346.0
2015-12-13,398.0
2015-12-14,216.0
2015-12-15,193.0
2015-12-16,192.0
2015-12-17,211.0
2015-12-18,201.0
2015-12-19,350.0
2015-12-20,413.0
2015-12-21,252.0
2015-12-22,236.0
2015-12-23,258.0
2015-12-24,247.0
2015-12-26,325.0
2015-12-27,365.0
2015-12-28,292.0
2015-12-29,269.0
2015-12-30,289.0
2015-12-31,265.0
2016-01-01,13.0
2016-01-02,382.0
2016-01-03,424.0
2016-01-04,296.0
2016-01-05,279.0
2016-01-06,191.0
2016-01-07,187.0
2016-01-08,194.0
2016-01-09,301.0
2016-01-10,339.0
2016-01-11,188.0
2016-01-12,162.0
2016-01-13,150.0
2016-01-14,134.0
2016-01-15,177.0
2016-01-16,292.0
2016-01-17,341.0
2016-01-18,209.0
2016-01-19,198.0
2016-01-20,272.0
2016-01-21,167.0
2016-01-22,166.0
2016-01-23,290.0
2016-01-24,279.0
2016-01-25,159.0
2016-01-26,154.0
2016-01-27,149.0
2016-01-28,130.0
2016-01-29,146.0
2016-01-30,290.0
2016-01-31,361.0
2016-02-01,203.0
2016-02-02,198.0
2016-02-03,172.0
2016-02-04,181.0
2016-02-05,215.0
2016-02-06,294.0
2016-02-07,236.0
2016-02-08,196.0
2016-02-09,273.0
2016-02-10,206.0
2016-02-11,197.0
2016-02-12,180.0
2016-02-13,246.0
2016-02-14,298.0
2016-02-15,211.0
2016-02-16,235.0
2016-02-17,205.0
2016-02-18,178.0
2016-02-19,228.0
2016-02-20,301.0
2016-02-21,388.0
2016-02-22,238.0
2016-02-23,205.0
2016-02-24,180.0
2016-02-25,157.0
2016-02-26,176.0
2016-02-27,304.0
2016-02-28,380.0
2016-02-29,221.0
2016-03-01,313.0
2016-03-02,291.0
2016-03-03,211.0
2016-03-04,226.0
2016-03-05,366.0
2016-03-06,361.0
2016-03-07,197.0
2016-03-08,173.0
2016-03-09,164.0
2016-03-10,175.0
2016-03-11,176.0
2016-03-12,275.0
2016-03-13,316.0
2016-03-14,225.0
2016-03-15,177.0
2016-03-16,203.0
