ds,y
2013-01-01,180.589
2013-01-02,26246.319
2013-01-03,18456.48002
2013-01-04,16721.96901
2013-01-05,22367.76108
2013-01-06,26861.665
2013-01-07,17646.151
2013-01-08,15805.76402
2013-01-09,16002.83002
2013-01-10,14134.59703
2013-01-11,14579.76001
2013-01-12,20311.584
2013-01-13,25426.017
2013-01-14,17028.452
2013-01-15,16764.118
2013-01-16,17517.78298
2013-01-17,15154.472
2013-01-18,15811.88602
2013-01-19,21668.79403
2013-01-20,25184.166044999998
2013-01-21,17811.85197
2013-01-22,15367.80199
2013-01-23,15693.49798
2013-01-24,14425.08802
2013-01-25,16561.232
2013-01-26,21061.09198
2013-01-27,23905.38303
2013-01-28,16794.32996
2013-01-29,14723.319
2013-01-30,15144.5
2013-01-31,14419.60298
2013-02-01,17346.746
2013-02-02,23659.7139
2013-02-03,22997.431
2013-02-04,17773.102
2013-02-05,15931.481
2013-02-06,16204.95002
2013-02-07,15197.28202
2013-02-08,17355.07097
2013-02-09,20273.89902
2013-02-10,15232.682
2013-02-11,14311.96396
2013-02-12,16711.431969999998
2013-02-13,17940.172
2013-02-14,15044.30898
2013-02-15,16295.11094
2013-02-16,24249.319
2013-02-17,22717.47801
2013-02-18,19537.965
2013-02-19,16208.673
2013-02-20,17065.727
2013-02-21,14649.607
2013-02-22,15167.90502
2013-02-23,20792.97601
2013-02-24,24415.13103
2013-02-25,17073.48698
2013-02-26,15010.861
2013-02-27,15506.84399
2013-02-28,15138.08495
2013-03-01,18220.95901
2013-03-02,24611.64
2013-03-03,28286.35499
2013-03-04,20356.70798
2013-03-05,16909.35803
2013-03-06,17824.100019999998
2013-03-07,15233.154
2013-03-08,15648.711009999999
2013-03-09,21947.73498
2013-03-10,25344.364
2013-03-11,18189.346
2013-03-12,15095.216
2013-03-13,16368.494
2013-03-14,14730.508
2013-03-15,16425.94202
2013-03-16,23632.95898
2013-03-17,27807.539
2013-03-18,19404.313000000002
2013-03-19,16149.74899
2013-03-20,17250.20897
2013-03-21,15342.804
2013-03-22,15243.59997
2013-03-23,21902.91
2013-03-24,24180.8039
2013-03-25,17674.252
2013-03-26,14769.98798
2013-03-27,16657.19297
2013-03-28,16780.02697
2013-03-29,16729.64802
2013-03-30,20997.36198
2013-03-31,24308.85492
2013-04-01,22030.397
2013-04-02,18770.998
2013-04-03,19051.261
2013-04-04,16338.249
