ds,y
2013-01-01,71.09
2013-01-02,15754.5
2013-01-03,11172.455
2013-01-04,10143.209
2013-01-05,13734.94501
2013-01-06,16229.26
2013-01-07,9647.739
2013-01-08,8269.916
2013-01-09,7817.085
2013-01-10,7350.518
2013-01-11,8098.952
2013-01-12,11571.687
2013-01-13,14710.75803
2013-01-14,8669.634
2013-01-15,8709.62299
2013-01-16,8708.053004
2013-01-17,7954.462004
2013-01-18,8433.41
2013-01-19,12823.791009999999
2013-01-20,14488.681
2013-01-21,9188.35098
2013-01-22,7910.383
2013-01-23,7840.609
2013-01-24,7438.385
2013-01-25,8409.391
2013-01-26,12596.615
2013-01-27,13759.782
2013-01-28,9047.142
2013-01-29,7794.07801
2013-01-30,7721.62998
2013-01-31,8151.108
2013-02-01,10498.301
2013-02-02,14902.296
2013-02-03,14900.052
2013-02-04,10239.78901
2013-02-05,9341.83202
2013-02-06,8654.142
2013-02-07,8220.53301
2013-02-08,9627.113
2013-02-09,12258.346
2013-02-10,9121.193
2013-02-11,8548.876006
2013-02-12,9745.057
2013-02-13,9255.086
2013-02-14,8286.059
2013-02-15,9078.757
2013-02-16,14379.10798
2013-02-17,12373.622004
2013-02-18,10392.68601
2013-02-19,8315.74899
2013-02-20,8713.453
2013-02-21,8158.234
2013-02-22,8218.844
2013-02-23,12281.886989999999
2013-02-24,14303.829
2013-02-25,9355.790004
2013-02-26,7939.966996
2013-02-27,7872.948
2013-02-28,8785.882
2013-03-01,10891.14802
2013-03-02,15992.10701
2013-03-03,17358.384000000002
2013-03-04,11730.717
2013-03-05,9374.95
2013-03-06,9027.87099
2013-03-07,8819.298
2013-03-08,8609.267
2013-03-09,13512.501
2013-03-10,14659.255000000001
2013-03-11,9886.70702
2013-03-12,8036.6630000000005
2013-03-13,8083.562
2013-03-14,7461.858
2013-03-15,8957.02
2013-03-16,13833.242
2013-03-17,15852.167
2013-03-18,9986.784
2013-03-19,8466.103004
2013-03-20,8034.601
2013-03-21,7491.505
2013-03-22,7947.226
2013-03-23,12928.36403
2013-03-24,13606.59197
2013-03-25,8720.502
2013-03-26,7164.40799
2013-03-27,7207.61999
2013-03-28,8118.287004
2013-03-29,8455.535
