ds,y
2013-01-01,46.0
2013-01-02,10932.0
2013-01-03,7358.0
2013-01-04,6760.0
2013-01-05,8576.0
2013-01-06,10933.0
2013-01-07,6486.0
2013-01-08,5575.0
2013-01-09,5839.0
2013-01-10,4652.0
2013-01-11,5383.0
2013-01-12,7360.0
2013-01-13,9927.0
2013-01-14,5948.0
2013-01-15,5680.0
2013-01-16,6460.0
2013-01-17,4895.0
2013-01-18,5658.0
2013-01-19,8388.0
2013-01-20,9965.0
2013-01-21,6309.0
2013-01-22,5284.0
2013-01-23,5730.0
2013-01-24,4541.0
2013-01-25,5748.0
2013-01-26,8160.0
2013-01-27,9372.0
2013-01-28,5949.0
2013-01-29,5175.0
2013-01-30,5570.0
2013-01-31,4783.0
2013-02-01,6918.0
2013-02-02,9486.0
2013-02-03,10050.0
2013-02-04,6677.0
2013-02-05,6001.0
2013-02-06,5945.0
2013-02-07,5168.0
2013-02-08,6217.0
2013-02-09,8167.0
2013-02-10,5888.0
2013-02-11,5665.0
2013-02-12,7322.0
2013-02-13,7001.0
2013-02-14,5245.0
2013-02-15,6393.0
2013-02-16,9824.0
2013-02-17,8754.0
2013-02-18,7271.0
2013-02-19,5607.0
2013-02-20,6250.0
2013-02-21,4745.0
2013-02-22,5931.0
2013-02-23,7977.0
2013-02-24,9936.0
2013-02-25,6241.0
2013-02-26,5173.0
2013-02-27,5616.0
2013-02-28,4956.0
2013-03-01,6950.0
2013-03-02,10019.0
2013-03-03,11690.0
2013-03-04,7489.0
2013-03-05,5993.0
2013-03-06,6353.0
2013-03-07,5152.0
2013-03-08,5442.0
2013-03-09,8641.0
2013-03-10,9981.0
2013-03-11,6431.0
2013-03-12,5197.0
2013-03-13,5906.0
2013-03-14,4676.0
2013-03-15,6128.0
2013-03-16,9318.0
2013-03-17,11154.0
2013-03-18,6814.0
2013-03-19,5636.0
2013-03-20,6306.0
2013-03-21,5036.0
2013-03-22,5777.0
2013-03-23,8685.0
2013-03-24,9822.0
2013-03-25,6433.0
2013-03-26,5414.0
2013-03-27,6616.0
2013-03-28,7016.0
2013-03-29,7468.0
2013-03-30,8137.0
2013-03-31,9347.0
2013-04-01,8316.0
2013-04-02,6797.0
2013-04-03,6803.0
2013-04-04,5149.0
2013-04-05,5852.0
2013-04-06,8930.0
2013-04-07,10572.0
2013-04-08,6591.0
2013-04-09,5304.0
2013-04-10,5926.0
2013-04-11,4756.0
2013-04-12,5751.0
2013-04-13,8345.0
2013-04-14,9945.0
2013-04-15,6613.0
2013-04-16,6254.0
2013-04-17,6357.0
2013-04-18,4872.0
2013-04-19,5836.0
2013-04-20,8982.0
2013-04-21,10589.0
2013-04-22,6694.0
2013-04-23,5807.0
2013-04-24,6118.0
2013-04-25,4779.0
2013-04-26,5992.0
2013-04-27,8277.0
2013-04-28,10027.0
2013-04-29,6289.0
2013-04-30,5677.0
2013-05-01,9139.0
2013-05-02,6210.0
2013-05-03,6307.0
2013-05-04,9223.0
2013-05-05,11773.0
2013-05-06,6994.0
2013-05-07,5860.0
2013-05-08,6130.0
2013-05-09,5122.0
2013-05-10,6435.0
2013-05-11,10417.0
2013-05-12,8141.0
2013-05-13,7484.0
2013-05-14,6385.0
2013-05-15,6919.0
2013-05-16,6207.0
2013-05-17,6350.0
2013-05-18,9661.0
2013-05-19,11861.0
2013-05-20,7227.0
2013-05-21,6158.0
2013-05-22,6236.0
2013-05-23,5641.0
2013-05-24,8226.0
2013-05-25,8199.0
2013-05-26,10252.0
2013-05-27,6934.0
2013-05-28,6381.0
2013-05-29,6382.0
2013-05-30,5638.0
2013-05-31,5683.0
2013-06-01,9594.0
2013-06-02,12610.0
2013-06-03,7805.0
2013-06-04,6568.0
2013-06-05,6600.0
2013-06-06,5163.0
2013-06-07,5958.0
2013-06-08,8403.0
2013-06-09,10966.0
2013-06-10,6583.0
2013-06-11,5148.0
2013-06-12,6402.0
2013-06-13,5009.0
2013-06-14,6450.0
2013-06-15,9799.0
2013-06-16,8911.0
2013-06-17,7500.0
2013-06-18,6135.0
2013-06-19,6384.0
2013-06-20,5308.0
2013-06-21,5790.0
2013-06-22,8346.0
2013-06-23,10567.0
2013-06-24,6780.0
2013-06-25,5738.0
2013-06-26,5803.0
2013-06-27,4755.0
2013-06-28,5803.0
2013-06-29,9008.0
2013-06-30,10708.0
2013-07-01,8389.0
2013-07-02,6872.0
2013-07-03,6835.0
2013-07-04,5388.0
2013-07-05,6009.0
2013-07-06,8458.0
2013-07-07,10294.0
2013-07-08,6884.0
2013-07-09,5634.0
2013-07-10,5864.0
2013-07-11,4834.0
2013-07-12,5968.0
2013-07-13,7901.0
2013-07-14,9249.0
2013-07-15,6943.0
2013-07-16,6423.0
2013-07-17,6052.0
2013-07-18,4842.0
2013-07-19,5615.0
2013-07-20,7790.0
2013-07-21,9287.0
2013-07-22,6663.0
2013-07-23,5910.0
2013-07-24,5634.0
2013-07-25,5074.0
2013-07-26,5562.0
2013-07-27,7542.0
2013-07-28,9010.0
2013-07-29,6448.0
2013-07-30,5589.0
2013-07-31,6309.0
2013-08-01,6370.0
2013-08-02,6293.0
2013-08-03,8317.0
2013-08-04,9576.0
2013-08-05,7240.0
2013-08-06,5859.0
2013-08-07,6000.0
2013-08-08,5094.0
2013-08-09,5960.0
2013-08-10,7373.0
2013-08-11,8960.0
2013-08-12,6771.0
2013-08-13,5734.0
2013-08-14,5973.0
2013-08-15,5528.0
2013-08-16,6324.0
2013-08-17,8050.0
2013-08-18,9825.0
2013-08-19,7539.0
2013-08-20,7065.0
2013-08-21,6371.0
2013-08-22,5100.0
2013-08-23,6227.0
2013-08-24,8031.0
2013-08-25,9797.0
2013-08-26,7141.0
2013-08-27,5968.0
2013-08-28,6391.0
2013-08-29,5788.0
2013-08-30,6336.0
2013-08-31,9551.0
2013-09-01,12928.0
2013-09-02,8688.0
2013-09-03,7450.0
2013-09-04,7189.0
2013-09-05,5913.0
2013-09-06,5680.0
2013-09-07,9408.0
2013-09-08,11421.0
2013-09-09,7235.0
2013-09-10,6003.0
2013-09-11,6430.0
2013-09-12,5352.0
2013-09-13,6183.0
2013-09-14,9164.0
2013-09-15,11637.0
2013-09-16,8360.0
2013-09-17,6834.0
2013-09-18,6573.0
2013-09-19,5355.0
2013-09-20,6323.0
2013-09-21,8985.0
2013-09-22,10993.0
2013-09-23,8689.0
2013-09-24,6191.0
2013-09-25,6186.0
2013-09-26,5815.0
2013-09-27,6524.0
2013-09-28,9314.0
2013-09-29,11849.0
2013-09-30,7774.0
2013-10-01,9010.0
2013-10-02,7963.0
2013-10-03,6623.0
2013-10-04,6764.0
2013-10-05,9977.0
2013-10-06,11406.0
2013-10-07,7269.0
2013-10-08,6429.0
2013-10-09,6220.0
2013-10-10,5854.0
2013-10-11,7504.0
2013-10-12,8903.0
2013-10-13,10131.0
2013-10-14,7981.0
2013-10-15,5985.0
2013-10-16,7251.0
2013-10-17,6283.0
2013-10-18,6665.0
2013-10-19,9280.0
2013-10-20,11763.0
2013-10-21,8162.0
2013-10-22,5799.0
2013-10-23,6683.0
2013-10-24,5574.0
2013-10-25,6136.0
2013-10-26,8884.0
2013-10-27,11274.0
2013-10-28,7156.0
2013-10-29,5970.0
2013-10-30,6360.0
2013-10-31,5657.0
2013-11-01,7749.0
2013-11-02,10145.0
2013-11-03,12609.0
2013-11-04,8499.0
2013-11-05,7038.0
2013-11-06,7048.0
2013-11-07,5998.0
2013-11-08,6454.0
2013-11-09,8827.0
2013-11-10,11868.0
2013-11-11,7282.0
2013-11-12,5895.0
2013-11-13,6066.0
2013-11-14,5369.0
2013-11-15,6059.0
2013-11-16,9578.0
2013-11-17,11465.0
2013-11-18,8265.0
2013-11-19,6113.0
2013-11-20,6506.0
2013-11-21,5361.0
2013-11-22,6391.0
2013-11-23,8900.0
2013-11-24,11602.0
2013-11-25,7169.0
2013-11-26,5795.0
2013-11-27,5970.0
2013-11-28,5152.0
2013-11-29,6240.0
2013-11-30,9223.0
2013-12-01,12972.0
2013-12-02,8674.0
2013-12-03,7176.0
2013-12-04,6912.0
2013-12-05,5985.0
2013-12-06,6961.0
2013-12-07,8864.0
2013-12-08,11007.0
2013-12-09,7633.0
2013-12-10,6531.0
2013-12-11,6515.0
2013-12-12,5991.0
2013-12-13,6112.0
2013-12-14,8077.0
2013-12-15,11259.0
2013-12-16,8139.0
2013-12-17,6637.0
2013-12-18,6979.0
2013-12-19,6098.0
2013-12-20,6709.0
2013-12-21,8882.0
2013-12-22,10475.0
2013-12-23,10525.0
2013-12-24,7618.0
2013-12-26,8086.0
2013-12-27,7345.0
2013-12-28,8327.0
2013-12-29,8036.0
2013-12-30,9908.0
2013-12-31,7372.0
2014-01-01,102.0
2014-01-02,11297.0
2014-01-03,8956.0
2014-01-04,12204.0
2014-01-05,13146.0
2014-01-06,8036.0
2014-01-07,7336.0
2014-01-08,7569.0
2014-01-09,6267.0
2014-01-10,6846.0
2014-01-11,9967.0
2014-01-12,11949.0
2014-01-13,7462.0
2014-01-14,6512.0
2014-01-15,6745.0
2014-01-16,6326.0
2014-01-17,7219.0
2014-01-18,10341.0
2014-01-19,12327.0
2014-01-20,7830.0
2014-01-21,7784.0
2014-01-22,6909.0
2014-01-23,6398.0
2014-01-24,7098.0
2014-01-25,10052.0
2014-01-26,12084.0
2014-01-27,7899.0
2014-01-28,6545.0
2014-01-29,6195.0
2014-01-30,5984.0
2014-01-31,7597.0
2014-02-01,11381.0
2014-02-02,12187.0
2014-02-03,8610.0
2014-02-04,7806.0
2014-02-05,7212.0
2014-02-06,6658.0
2014-02-07,6983.0
2014-02-08,9451.0
2014-02-09,10891.0
2014-02-10,7955.0
2014-02-11,6761.0
2014-02-12,7284.0
2014-02-13,6550.0
2014-02-14,6076.0
2014-02-15,10055.0
2014-02-16,12346.0
2014-02-17,8221.0
2014-02-18,7927.0
2014-02-19,6834.0
2014-02-20,6010.0
2014-02-21,7093.0
2014-02-22,9921.0
2014-02-23,10082.0
2014-02-24,8408.0
2014-02-25,6709.0
2014-02-26,7076.0
2014-02-27,6180.0
2014-02-28,7810.0
2014-03-01,12242.0
2014-03-02,9347.0
2014-03-03,8307.0
2014-03-04,11022.0
2014-03-05,9794.0
2014-03-06,8146.0
2014-03-07,7854.0
2014-03-08,9437.0
2014-03-09,13417.0
2014-03-10,7974.0
2014-03-11,6891.0
2014-03-12,7617.0
2014-03-13,6629.0
2014-03-14,7238.0
2014-03-15,9390.0
2014-03-16,13379.0
2014-03-17,8651.0
2014-03-18,6959.0
2014-03-19,8244.0
2014-03-20,6724.0
2014-03-21,7042.0
2014-03-22,9812.0
2014-03-23,12052.0
2014-03-24,7945.0
2014-03-25,7074.0
2014-03-26,7737.0
2014-03-27,6363.0
2014-03-28,7097.0
2014-03-29,10427.0
2014-03-30,12527.0
2014-03-31,9015.0
2014-04-01,9867.0
2014-04-02,8974.0
2014-04-03,7802.0
2014-04-04,7430.0
2014-04-05,11076.0
2014-04-06,12421.0
2014-04-07,8241.0
2014-04-08,7138.0
2014-04-09,8033.0
2014-04-10,6567.0
2014-04-11,7067.0
2014-04-12,9980.0
2014-04-13,11621.0
2014-04-14,8910.0
