ds,y
2013-01-01,15.0
2013-01-02,1476.0
2013-01-03,1048.0
2013-01-04,1031.0
2013-01-05,1273.0
2013-01-06,1306.0
2013-01-07,846.0
2013-01-08,746.0
2013-01-09,844.0
2013-01-10,706.0
2013-01-11,774.0
2013-01-12,1064.0
2013-01-13,1083.0
2013-01-14,718.0
2013-01-15,755.0
2013-01-16,704.0
2013-01-17,783.0
2013-01-18,765.0
2013-01-19,1161.0
2013-01-20,1120.0
2013-01-21,742.0
2013-01-22,736.0
2013-01-23,773.0
2013-01-24,675.0
2013-01-25,863.0
2013-01-26,1056.0
2013-01-27,991.0
2013-01-28,712.0
2013-01-29,731.0
2013-01-30,810.0
2013-01-31,732.0
2013-02-01,809.0
2013-02-02,1104.0
2013-02-03,1191.0
2013-02-04,839.0
2013-02-05,792.0
2013-02-06,741.0
2013-02-07,799.0
2013-02-08,930.0
2013-02-09,958.0
2013-02-10,738.0
2013-02-11,671.0
2013-02-12,812.0
2013-02-13,899.0
2013-02-14,1046.0
2013-02-15,1037.0
2013-02-16,1405.0
2013-02-17,1195.0
2013-02-18,893.0
2013-02-19,712.0
2013-02-20,823.0
2013-02-21,762.0
2013-02-22,896.0
2013-02-23,1099.0
2013-02-24,1186.0
2013-02-25,805.0
2013-02-26,649.0
2013-02-27,816.0
2013-02-28,697.0
2013-03-01,1037.0
2013-03-02,1198.0
2013-03-03,1254.0
2013-03-04,976.0
2013-03-05,861.0
2013-03-06,981.0
2013-03-07,810.0
2013-03-08,821.0
2013-03-09,1168.0
2013-03-10,1197.0
2013-03-11,707.0
2013-03-12,631.0
2013-03-13,886.0
2013-03-14,755.0
2013-03-15,937.0
2013-03-16,1109.0
2013-03-17,1281.0
2013-03-18,855.0
2013-03-19,698.0
2013-03-20,791.0
2013-03-21,770.0
2013-03-22,942.0
2013-03-23,1170.0
2013-03-24,1133.0
2013-03-25,832.0
2013-03-26,730.0
2013-03-27,740.0
2013-03-28,766.0
2013-03-29,939.0
2013-03-30,1294.0
2013-03-31,1231.0
2013-04-01,1034.0
2013-04-02,897.0
2013-04-03,924.0
2013-04-04,762.0
2013-04-05,874.0
2013-04-06,1213.0
2013-04-07,1230.0
2013-04-08,894.0
2013-04-09,866.0
2013-04-10,929.0
2013-04-11,973.0
2013-04-12,863.0
2013-04-13,1136.0
2013-04-14,1161.0
2013-04-15,912.0
2013-04-16,881.0
2013-04-17,922.0
2013-04-18,789.0
2013-04-19,1034.0
2013-04-20,1240.0
2013-04-21,1276.0
2013-04-22,931.0
2013-04-23,896.0
2013-04-24,973.0
2013-04-25,808.0
2013-04-26,924.0
2013-04-27,1100.0
2013-04-28,1140.0
2013-04-29,948.0
2013-04-30,865.0
2013-05-01,1342.0
2013-05-02,901.0
2013-05-03,1050.0
2013-05-04,1258.0
2013-05-05,1259.0
2013-05-06,900.0
2013-05-07,827.0
2013-05-08,997.0
2013-05-09,1105.0
2013-05-10,1381.0
2013-05-11,1935.0
2013-05-12,1134.0
2013-05-13,862.0
2013-05-14,819.0
2013-05-15,945.0
2013-05-16,939.0
2013-05-17,928.0
2013-05-18,1330.0
2013-05-19,1278.0
2013-05-20,868.0
2013-05-21,824.0
2013-05-22,927.0
2013-05-23,913.0
2013-05-24,1225.0
2013-05-25,1032.0
2013-05-26,1124.0
2013-05-27,854.0
2013-05-28,906.0
2013-05-29,926.0
2013-05-30,939.0
2013-05-31,962.0
2013-06-01,1359.0
2013-06-02,1389.0
2013-06-03,1004.0
2013-06-04,883.0
2013-06-05,1056.0
2013-06-06,983.0
2013-06-07,1096.0
2013-06-08,1248.0
2013-06-09,1297.0
2013-06-10,848.0
2013-06-11,673.0
2013-06-12,801.0
2013-06-13,918.0
2013-06-14,1219.0
2013-06-15,1660.0
2013-06-16,1158.0
2013-06-17,909.0
2013-06-18,693.0
2013-06-19,975.0
2013-06-20,767.0
2013-06-21,937.0
2013-06-22,1184.0
2013-06-23,1319.0
2013-06-24,791.0
2013-06-25,671.0
2013-06-26,881.0
2013-06-27,844.0
2013-06-28,924.0
2013-06-29,1139.0
2013-06-30,1160.0
2013-07-01,1035.0
2013-07-02,929.0
2013-07-03,1016.0
2013-07-04,885.0
2013-07-05,959.0
2013-07-06,1108.0
2013-07-07,1275.0
2013-07-08,939.0
2013-07-09,962.0
2013-07-10,896.0
2013-07-11,847.0
2013-07-12,879.0
2013-07-13,1018.0
2013-07-14,1054.0
2013-07-15,978.0
2013-07-16,735.0
2013-07-17,869.0
2013-07-18,949.0
2013-07-19,818.0
2013-07-20,1029.0
2013-07-21,1056.0
2013-07-22,915.0
2013-07-23,954.0
2013-07-24,1050.0
2013-07-25,1079.0
2013-07-26,1283.0
2013-07-27,1189.0
2013-07-28,1013.0
2013-07-29,727.0
2013-07-30,725.0
2013-07-31,938.0
2013-08-01,891.0
2013-08-02,1219.0
2013-08-03,1223.0
2013-08-04,1189.0
2013-08-05,1019.0
2013-08-06,904.0
2013-08-07,897.0
2013-08-08,910.0
2013-08-09,1025.0
2013-08-10,1169.0
2013-08-11,1072.0
2013-08-12,828.0
2013-08-13,829.0
2013-08-14,844.0
2013-08-15,797.0
2013-08-16,1111.0
2013-08-17,1182.0
2013-08-18,1177.0
2013-08-19,840.0
2013-08-20,905.0
2013-08-21,890.0
2013-08-22,829.0
2013-08-23,1006.0
2013-08-24,1070.0
2013-08-25,1313.0
2013-08-26,992.0
2013-08-27,928.0
2013-08-28,924.0
2013-08-29,806.0
2013-08-30,958.0
2013-08-31,1275.0
2013-09-01,1386.0
2013-09-02,1125.0
2013-09-03,1003.0
2013-09-04,955.0
2013-09-05,814.0
2013-09-06,826.0
2013-09-07,1262.0
2013-09-08,1424.0
2013-09-09,889.0
2013-09-10,840.0
2013-09-11,996.0
2013-09-12,797.0
2013-09-13,1001.0
2013-09-14,1213.0
2013-09-15,1338.0
2013-09-16,933.0
2013-09-17,896.0
2013-09-18,867.0
2013-09-19,848.0
2013-09-20,892.0
2013-09-21,1191.0
2013-09-22,1189.0
2013-09-23,944.0
2013-09-24,815.0
2013-09-25,867.0
2013-09-26,856.0
2013-09-27,827.0
2013-09-28,1305.0
2013-09-29,1417.0
2013-09-30,913.0
2013-10-01,1037.0
2013-10-02,996.0
2013-10-03,951.0
2013-10-04,1055.0
2013-10-05,1336.0
2013-10-06,1387.0
2013-10-07,891.0
2013-10-08,976.0
2013-10-09,889.0
2013-10-10,844.0
2013-10-11,1112.0
2013-10-12,1046.0
2013-10-13,1141.0
2013-10-14,824.0
2013-10-15,750.0
2013-10-16,1010.0
2013-10-17,901.0
2013-10-18,866.0
2013-10-19,1171.0
2013-10-20,1429.0
2013-10-21,918.0
2013-10-22,853.0
2013-10-23,808.0
2013-10-24,721.0
2013-10-25,984.0
2013-10-26,1156.0
2013-10-27,1245.0
2013-10-28,911.0
2013-10-29,742.0
2013-10-30,741.0
2013-10-31,732.0
2013-11-01,879.0
2013-11-02,1060.0
2013-11-03,1378.0
2013-11-04,938.0
2013-11-05,865.0
2013-11-06,990.0
2013-11-07,842.0
2013-11-08,973.0
2013-11-09,1182.0
2013-11-10,1288.0
2013-11-11,1059.0
2013-11-12,843.0
2013-11-13,940.0
2013-11-14,788.0
2013-11-15,952.0
2013-11-16,1196.0
2013-11-17,1341.0
2013-11-18,982.0
2013-11-19,963.0
2013-11-20,942.0
2013-11-21,779.0
2013-11-22,966.0
2013-11-23,1084.0
2013-11-24,1220.0
2013-11-25,942.0
2013-11-26,831.0
2013-11-27,1018.0
2013-11-28,795.0
2013-11-29,1129.0
2013-11-30,1132.0
2013-12-01,1516.0
2013-12-02,1008.0
2013-12-03,862.0
2013-12-04,920.0
2013-12-05,3426.0
2013-12-06,1140.0
2013-12-07,1180.0
2013-12-08,1135.0
2013-12-09,908.0
2013-12-10,942.0
2013-12-11,1239.0
