ds,y
2013-01-01,0.0
2013-01-02,46.0
2013-01-03,37.0
2013-01-04,57.0
2013-01-05,87.0
2013-01-06,87.0
2013-01-07,55.0
2013-01-08,57.0
2013-01-09,38.0
2013-01-10,58.0
2013-01-11,48.0
2013-01-12,65.0
2013-01-13,63.0
2013-01-14,31.0
2013-01-15,51.0
2013-01-16,60.0
2013-01-17,51.0
2013-01-18,47.0
2013-01-19,65.0
2013-01-20,93.0
2013-01-21,41.0
2013-01-22,52.0
2013-01-23,46.0
2013-01-24,26.0
2013-01-25,45.0
2013-01-26,52.0
2013-01-27,60.0
2013-01-28,32.0
2013-01-29,60.0
2013-01-30,65.0
2013-01-31,37.0
2013-02-01,58.0
2013-02-02,73.0
2013-02-03,70.0
2013-02-04,50.0
2013-02-05,35.0
2013-02-06,41.0
2013-02-07,36.0
2013-02-08,43.0
2013-02-09,66.0
2013-02-10,60.0
2013-02-11,49.0
2013-02-12,56.0
2013-02-13,39.0
2013-02-14,45.0
2013-02-15,41.0
2013-02-16,54.0
2013-02-17,53.0
2013-02-18,64.0
2013-02-19,38.0
2013-02-20,46.0
2013-02-21,37.0
2013-02-22,30.0
2013-02-23,60.0
2013-02-24,63.0
2013-02-25,68.0
2013-02-26,39.0
2013-02-27,54.0
2013-02-28,46.0
2013-03-01,49.0
2013-03-02,68.0
2013-03-03,75.0
2013-03-04,65.0
2013-03-05,57.0
2013-03-06,54.0
2013-03-07,35.0
2013-03-08,44.0
2013-03-09,63.0
2013-03-10,62.0
2013-03-11,56.0
2013-03-12,39.0
2013-03-13,27.0
2013-03-14,42.0
2013-03-15,49.0
2013-03-16,51.0
2013-03-17,70.0
2013-03-18,42.0
2013-03-19,40.0
2013-03-20,34.0
2013-03-21,50.0
2013-03-22,33.0
2013-03-23,76.0
2013-03-24,68.0
2013-03-25,37.0
2013-03-26,44.0
2013-03-27,38.0
2013-03-28,35.0
2013-03-29,54.0
2013-03-30,56.0
2013-03-31,69.0
2013-04-01,43.0
2013-04-02,53.0
2013-04-03,53.0
2013-04-04,61.0
2013-04-05,54.0
2013-04-06,58.0
2013-04-07,53.0
2013-04-08,40.0
2013-04-09,44.0
2013-04-10,46.0
2013-04-11,44.0
2013-04-12,60.0
2013-04-13,68.0
2013-04-14,63.0
2013-04-15,47.0
2013-04-16,23.0
2013-04-17,39.0
2013-04-18,26.0
2013-04-19,37.0
2013-04-20,51.0
2013-04-21,69.0
2013-04-22,32.0
2013-04-23,38.0
2013-04-24,39.0
2013-04-25,31.0
2013-04-26,44.0
2013-04-27,48.0
2013-04-28,53.0
2013-04-29,60.0
2013-04-30,46.0
2013-05-01,65.0
2013-05-02,41.0
2013-05-03,52.0
2013-05-04,54.0
2013-05-05,62.0
2013-05-06,50.0
2013-05-07,43.0
2013-05-08,32.0
2013-05-09,33.0
2013-05-10,46.0
2013-05-11,50.0
2013-05-12,54.0
2013-05-13,40.0
2013-05-14,47.0
2013-05-15,30.0
2013-05-16,32.0
2013-05-17,42.0
2013-05-18,57.0
2013-05-19,51.0
2013-05-20,40.0
2013-05-21,45.0
2013-05-22,48.0
2013-05-23,35.0
2013-05-24,53.0
2013-05-25,44.0
2013-05-26,52.0
2013-05-27,32.0
2013-05-28,39.0
2013-05-29,38.0
2013-05-30,75.0
2013-05-31,49.0
2013-06-01,39.0
2013-06-02,86.0
2013-06-03,45.0
2013-06-04,42.0
2013-06-05,45.0
2013-06-06,44.0
2013-06-07,36.0
2013-06-08,62.0
2013-06-09,81.0
2013-06-10,55.0
2013-06-11,38.0
2013-06-12,37.0
2013-06-13,31.0
2013-06-14,43.0
2013-06-15,45.0
2013-06-16,43.0
2013-06-17,29.0
2013-06-18,45.0
2013-06-19,51.0
2013-06-20,44.0
2013-06-21,29.0
2013-06-22,54.0
2013-06-23,59.0
2013-06-24,39.0
2013-06-25,31.0
2013-06-26,31.0
2013-06-27,33.0
2013-06-28,26.0
2013-06-29,48.0
2013-06-30,48.0
2013-07-01,38.0
2013-07-02,32.0
2013-07-03,30.0
2013-07-04,31.0
2013-07-05,30.0
2013-07-06,45.0
2013-07-07,69.0
2013-07-08,21.0
2013-07-09,34.0
2013-07-10,50.0
2013-07-11,28.0
2013-07-12,35.0
2013-07-13,39.0
2013-07-14,54.0
2013-07-15,21.0
2013-07-16,34.0
2013-07-17,30.0
2013-07-18,27.0
2013-07-19,38.0
2013-07-20,60.0
2013-07-21,45.0
2013-07-22,40.0
2013-07-23,31.0
2013-07-24,43.0
