ds,y
2013-01-01,2.0
2013-01-02,121.0
2013-01-03,83.0
2013-01-04,127.0
2013-01-05,180.0
2013-01-06,161.0
2013-01-07,73.0
2013-01-08,96.0
2013-01-09,129.0
2013-01-10,100.0
2013-01-11,166.0
2013-01-12,223.0
2013-01-13,196.0
2013-01-14,71.0
2013-01-15,106.0
2013-01-16,170.0
2013-01-17,97.0
2013-01-18,145.0
2013-01-19,217.0
2013-01-20,178.0
2013-01-21,67.0
2013-01-22,120.0
2013-01-23,135.0
2013-01-24,54.0
2013-01-25,135.0
2013-01-26,171.0
2013-01-27,157.0
2013-01-28,39.0
2013-01-29,69.0
2013-01-30,114.0
2013-01-31,106.0
2013-02-01,124.0
2013-02-02,195.0
2013-02-03,145.0
2013-02-04,64.0
2013-02-05,119.0
2013-02-06,161.0
2013-02-07,98.0
2013-02-08,142.0
2013-02-09,190.0
2013-02-10,170.0
2013-02-11,161.0
2013-02-12,151.0
2013-02-13,162.0
2013-02-14,105.0
2013-02-15,136.0
2013-02-16,182.0
2013-02-17,133.0
2013-02-18,94.0
2013-02-19,90.0
2013-02-20,112.0
2013-02-21,70.0
2013-02-22,165.0
2013-02-23,162.0
2013-02-24,176.0
2013-02-25,70.0
2013-02-26,58.0
2013-02-27,124.0
2013-02-28,66.0
2013-03-01,143.0
2013-03-02,198.0
2013-03-03,134.0
2013-03-04,79.0
2013-03-05,104.0
2013-03-06,168.0
2013-03-07,89.0
2013-03-08,223.0
2013-03-09,150.0
2013-03-10,180.0
2013-03-11,70.0
2013-03-12,112.0
2013-03-13,144.0
2013-03-14,78.0
2013-03-15,197.0
2013-03-16,168.0
2013-03-17,199.0
2013-03-18,65.0
2013-03-19,106.0
2013-03-20,148.0
2013-03-21,103.0
2013-03-22,160.0
2013-03-23,197.0
2013-03-24,167.0
2013-03-25,105.0
2013-03-26,138.0
2013-03-27,155.0
2013-03-28,128.0
2013-03-29,147.0
2013-03-30,205.0
2013-03-31,153.0
2013-04-01,69.0
2013-04-02,116.0
2013-04-03,143.0
2013-04-04,118.0
2013-04-05,167.0
2013-04-06,245.0
2013-04-07,160.0
2013-04-08,101.0
2013-04-09,94.0
2013-04-10,164.0
2013-04-11,88.0
2013-04-12,139.0
2013-04-13,212.0
2013-04-14,170.0
2013-04-15,71.0
2013-04-16,105.0
2013-04-17,145.0
2013-04-18,104.0
2013-04-19,141.0
2013-04-20,201.0
2013-04-21,150.0
2013-04-22,101.0
2013-04-23,97.0
2013-04-24,127.0
2013-04-25,79.0
2013-04-26,131.0
2013-04-27,157.0
2013-04-28,167.0
2013-04-29,83.0
2013-04-30,184.0
2013-05-01,185.0
2013-05-02,104.0
2013-05-03,135.0
2013-05-04,202.0
2013-05-05,131.0
2013-05-06,57.0
2013-05-07,92.0
2013-05-08,148.0
2013-05-09,156.0
2013-05-10,187.0
2013-05-11,560.0
2013-05-12,260.0
2013-05-13,59.0
2013-05-14,51.0
2013-05-15,128.0
2013-05-16,78.0
2013-05-17,141.0
2013-05-18,172.0
2013-05-19,150.0
2013-05-20,77.0
2013-05-21,92.0
2013-05-22,137.0
2013-05-23,116.0
2013-05-24,213.0
2013-05-25,216.0
2013-05-26,145.0
2013-05-27,63.0
2013-05-28,104.0
2013-05-29,133.0
2013-05-30,75.0
2013-05-31,147.0
2013-06-01,230.0
2013-06-02,172.0
2013-06-03,95.0
2013-06-04,120.0
2013-06-05,175.0
2013-06-06,88.0
2013-06-07,176.0
2013-06-08,228.0
2013-06-09,176.0
2013-06-10,75.0
2013-06-11,104.0
2013-06-12,164.0
2013-06-13,105.0
2013-06-14,236.0
2013-06-15,327.0
2013-06-16,221.0
2013-06-17,56.0
2013-06-18,103.0
2013-06-19,147.0
2013-06-20,90.0
2013-06-21,114.0
2013-06-22,166.0
2013-06-23,176.0
2013-06-24,91.0
2013-06-25,127.0
2013-06-26,138.0
2013-06-27,86.0
2013-06-28,184.0
2013-06-29,191.0
2013-06-30,172.0
2013-07-01,83.0
2013-07-02,112.0
2013-07-03,149.0
2013-07-04,120.0
2013-07-05,186.0
2013-07-06,178.0
2013-07-07,161.0
2013-07-08,77.0
2013-07-09,80.0
2013-07-10,169.0
2013-07-11,76.0
2013-07-12,133.0
2013-07-13,245.0
2013-07-14,132.0
2013-07-15,81.0
2013-07-16,109.0
2013-07-17,146.0
2013-07-18,75.0
2013-07-19,144.0
2013-07-20,204.0
2013-07-21,180.0
2013-07-22,66.0
2013-07-23,76.0
2013-07-24,103.0
2013-07-25,107.0
2013-07-26,172.0
2013-07-27,153.0
2013-07-28,125.0
2013-07-29,129.0
2013-07-30,103.0
2013-07-31,106.0
2013-08-01,65.0
2013-08-02,167.0
2013-08-03,206.0
2013-08-04,154.0
2013-08-05,85.0
2013-08-06,119.0
2013-08-07,166.0
2013-08-08,75.0
2013-08-09,147.0
2013-08-10,206.0
2013-08-11,131.0
2013-08-12,85.0
2013-08-13,110.0
2013-08-14,121.0
2013-08-15,115.0
2013-08-16,149.0
2013-08-17,192.0
2013-08-18,150.0
2013-08-19,76.0
2013-08-20,129.0
2013-08-21,165.0
2013-08-22,92.0
2013-08-23,154.0
2013-08-24,168.0
2013-08-25,143.0
2013-08-26,105.0
2013-08-27,106.0
2013-08-28,166.0
2013-08-29,104.0
2013-08-30,182.0
2013-08-31,231.0
2013-09-01,162.0
2013-09-02,93.0
2013-09-03,103.0
2013-09-04,167.0
2013-09-05,114.0
2013-09-06,160.0
2013-09-07,214.0
2013-09-08,175.0
2013-09-09,95.0
2013-09-10,115.0
2013-09-11,149.0
2013-09-12,88.0
2013-09-13,193.0
2013-09-14,217.0
2013-09-15,157.0
2013-09-16,92.0
2013-09-17,89.0
2013-09-18,155.0
2013-09-19,97.0
2013-09-20,184.0
2013-09-21,205.0
2013-09-22,162.0
2013-09-23,98.0
2013-09-24,108.0
2013-09-25,169.0
2013-09-26,104.0
2013-09-27,158.0
2013-09-28,228.0
2013-09-29,175.0
2013-09-30,84.0
2013-10-01,113.0
2013-10-02,134.0
2013-10-03,102.0
2013-10-04,202.0
2013-10-05,219.0
2013-10-06,184.0
2013-10-07,81.0
2013-10-08,95.0
2013-10-09,175.0
2013-10-10,166.0
2013-10-11,292.0
2013-10-12,138.0
2013-10-13,159.0
2013-10-14,88.0
2013-10-15,107.0
2013-10-16,99.0
2013-10-17,83.0
2013-10-18,175.0
2013-10-19,216.0
2013-10-20,141.0
2013-10-21,94.0
2013-10-22,95.0
2013-10-23,171.0
2013-10-24,110.0
2013-10-25,125.0
2013-10-26,193.0
2013-10-27,146.0
2013-10-28,85.0
2013-10-29,73.0
2013-10-30,214.0
2013-10-31,131.0
2013-11-01,194.0
2013-11-02,222.0
2013-11-03,164.0
2013-11-04,100.0
2013-11-05,75.0
2013-11-06,128.0
2013-11-07,89.0
2013-11-08,162.0
2013-11-09,119.0
2013-11-10,149.0
2013-11-11,58.0
2013-11-12,83.0
2013-11-13,130.0
2013-11-14,103.0
2013-11-15,141.0
2013-11-16,230.0
2013-11-17,172.0
2013-11-18,110.0
2013-11-19,86.0
2013-11-20,185.0
2013-11-21,99.0
2013-11-22,199.0
2013-11-23,199.0
2013-11-24,180.0
2013-11-25,104.0
2013-11-26,113.0
2013-11-27,166.0
2013-11-28,128.0
2013-11-29,119.0
2013-11-30,185.0
2013-12-01,148.0
2013-12-02,117.0
2013-12-03,124.0
2013-12-04,149.0
2013-12-05,130.0
2013-12-06,155.0
2013-12-07,179.0
2013-12-08,132.0
2013-12-09,71.0
2013-12-10,82.0
2013-12-11,126.0
2013-12-12,97.0
2013-12-13,187.0
2013-12-14,194.0
2013-12-15,184.0
2013-12-16,158.0
2013-12-17,113.0
2013-12-18,172.0
2013-12-19,157.0
2013-12-20,206.0
2013-12-21,235.0
2013-12-22,228.0
2013-12-23,217.0
2013-12-24,193.0
2013-12-26,132.0
2013-12-27,165.0
2013-12-28,184.0
2013-12-29,215.0
2013-12-30,313.0
2013-12-31,334.0
2014-01-01,5.0
2014-01-02,124.0
2014-01-03,107.0
2014-01-04,190.0
2014-01-05,223.0
2014-01-06,130.0
2014-01-07,153.0
2014-01-08,167.0
2014-01-09,156.0
2014-01-10,236.0
2014-01-11,310.0
2014-01-12,245.0
2014-01-13,116.0
2014-01-14,125.0
2014-01-15,191.0
2014-01-16,159.0
2014-01-17,258.0
2014-01-18,339.0
2014-01-19,279.0
2014-01-20,128.0
2014-01-21,151.0
2014-01-22,214.0
2014-01-23,122.0
2014-01-24,213.0
2014-01-25,309.0
2014-01-26,265.0
2014-01-27,112.0
2014-01-28,186.0
2014-01-29,184.0
2014-01-30,140.0
2014-01-31,250.0
2014-02-01,250.0
2014-02-02,185.0
2014-02-03,104.0
2014-02-04,158.0
2014-02-05,181.0
2014-02-06,95.0
2014-02-07,157.0
2014-02-08,231.0
2014-02-09,235.0
2014-02-10,110.0
2014-02-11,128.0
2014-02-12,233.0
2014-02-13,169.0
2014-02-14,300.0
2014-02-15,172.0
2014-02-16,199.0
2014-02-17,128.0
2014-02-18,132.0
2014-02-19,198.0
2014-02-20,179.0
2014-02-21,211.0
2014-02-22,302.0
2014-02-23,188.0
2014-02-24,115.0
2014-02-25,149.0
2014-02-26,189.0
2014-02-27,148.0
2014-02-28,239.0
2014-03-01,501.0
2014-03-02,331.0
2014-03-03,347.0
2014-03-04,252.0
2014-03-05,221.0
2014-03-06,161.0
2014-03-07,345.0
2014-03-08,354.0
2014-03-09,270.0
2014-03-10,144.0
2014-03-11,155.0
2014-03-12,197.0
2014-03-13,185.0
2014-03-14,225.0
2014-03-15,306.0
2014-03-16,310.0
2014-03-17,126.0
2014-03-18,151.0
2014-03-19,238.0
2014-03-20,145.0
2014-03-21,259.0
2014-03-22,322.0
2014-03-23,323.0
2014-03-24,163.0
2014-03-25,215.0
2014-03-26,245.0
2014-03-27,147.0
2014-03-28,254.0
2014-03-29,377.0
2014-03-30,267.0
2014-03-31,149.0
2014-04-01,195.0
2014-04-02,247.0
2014-04-03,143.0
2014-04-04,203.0
2014-04-05,284.0
2014-04-06,237.0
2014-04-07,118.0
2014-04-08,180.0
2014-04-09,205.0
2014-04-10,170.0
2014-04-11,306.0
2014-04-12,284.0
2014-04-13,206.0
2014-04-14,117.0
2014-04-15,187.0
2014-04-16,267.0
2014-04-17,205.0
2014-04-18,245.0
2014-04-19,237.0
2014-04-20,252.0
2014-04-21,144.0
2014-04-22,144.0
2014-04-23,255.0
2014-04-24,160.0
2014-04-25,253.0
2014-04-26,234.0
2014-04-27,237.0
2014-04-28,99.0
2014-04-29,179.0
2014-04-30,305.0
2014-05-01,283.0
2014-05-02,213.0
2014-05-03,281.0
2014-05-04,250.0
2014-05-05,173.0
2014-05-06,178.0
2014-05-07,236.0
2014-05-08,176.0
2014-05-09,383.0
2014-05-10,584.0
2014-05-11,397.0
2014-05-12,69.0
2014-05-13,131.0
2014-05-14,212.0
2014-05-15,153.0
2014-05-16,216.0
2014-05-17,297.0
2014-05-18,264.0
2014-05-19,148.0
2014-05-20,164.0
2014-05-21,209.0
2014-05-22,176.0
2014-05-23,215.0
2014-05-24,305.0
2014-05-25,239.0
2014-05-26,134.0
2014-05-27,154.0
2014-05-28,203.0
2014-05-29,153.0
2014-05-30,245.0
2014-05-31,252.0
2014-06-01,260.0
2014-06-02,151.0
2014-06-03,178.0
2014-06-04,261.0
2014-06-05,116.0
2014-06-06,213.0
2014-06-07,282.0
2014-06-08,246.0
2014-06-09,175.0
2014-06-10,141.0
2014-06-11,247.0
2014-06-12,139.0
2014-06-13,256.0
2014-06-14,356.0
2014-06-15,191.0
2014-06-16,108.0
2014-06-17,163.0
2014-06-18,217.0
2014-06-19,151.0
2014-06-20,236.0
2014-06-21,216.0
2014-06-22,209.0
2014-06-23,151.0
2014-06-24,156.0
2014-06-25,213.0
2014-06-26,119.0
2014-06-27,215.0
2014-06-28,156.0
2014-06-29,188.0
2014-06-30,161.0
2014-07-01,157.0
2014-07-02,252.0
2014-07-03,193.0
2014-07-04,220.0
2014-07-05,346.0
2014-07-06,263.0
2014-07-07,147.0
2014-07-08,216.0
2014-07-09,247.0
2014-07-10,144.0
2014-07-11,295.0
2014-07-12,432.0
2014-07-13,280.0
2014-07-14,156.0
2014-07-15,195.0
2014-07-16,257.0
2014-07-17,145.0
2014-07-18,262.0
2014-07-19,295.0
2014-07-20,262.0
2014-07-21,163.0
2014-07-22,181.0
2014-07-23,285.0
2014-07-24,197.0
2014-07-25,302.0
2014-07-26,327.0
2014-07-27,252.0
2014-07-28,156.0
2014-07-29,163.0
2014-07-30,246.0
2014-07-31,194.0
2014-08-01,281.0
2014-08-02,329.0
2014-08-03,225.0
2014-08-04,165.0
2014-08-05,233.0
2014-08-06,287.0
2014-08-07,173.0
2014-08-08,274.0
2014-08-09,313.0
2014-08-10,252.0
2014-08-11,153.0
2014-08-12,149.0
2014-08-13,238.0
2014-08-14,180.0
2014-08-15,267.0
2014-08-16,318.0
2014-08-17,309.0
2014-08-18,154.0
2014-08-19,177.0
2014-08-20,267.0
2014-08-21,166.0
2014-08-22,314.0
2014-08-23,362.0
2014-08-24,237.0
2014-08-25,173.0
2014-08-26,182.0
2014-08-27,287.0
2014-08-28,203.0
2014-08-29,252.0
2014-08-30,287.0
2014-08-31,254.0
2014-09-01,189.0
2014-09-02,216.0
2014-09-03,231.0
2014-09-04,188.0
2014-09-05,227.0
2014-09-06,327.0
2014-09-07,244.0
2014-09-08,151.0
2014-09-09,179.0
2014-09-10,202.0
2014-09-11,165.0
2014-09-12,293.0
2014-09-13,324.0
2014-09-14,239.0
2014-09-15,165.0
2014-09-16,177.0
2014-09-17,231.0
2014-09-18,143.0
2014-09-19,303.0
2014-09-20,356.0
2014-09-21,295.0
2014-09-22,177.0
2014-09-23,186.0
2014-09-24,268.0
2014-09-25,177.0
2014-09-26,265.0
2014-09-27,300.0
2014-09-28,252.0
2014-09-29,167.0
2014-09-30,152.0
2014-10-01,265.0
2014-10-02,158.0
2014-10-03,307.0
2014-10-04,357.0
2014-10-05,279.0
2014-10-06,201.0
2014-10-07,235.0
2014-10-08,296.0
2014-10-09,262.0
2014-10-10,347.0
2014-10-11,284.0
2014-10-12,304.0
2014-10-13,126.0
2014-10-14,212.0
2014-10-15,248.0
2014-10-16,210.0
2014-10-17,281.0
2014-10-18,293.0
2014-10-19,308.0
2014-10-20,183.0
2014-10-21,191.0
2014-10-22,278.0
2014-10-23,193.0
2014-10-24,279.0
2014-10-25,377.0
2014-10-26,345.0
2014-10-27,144.0
2014-10-28,168.0
2014-10-29,372.0
2014-10-30,275.0
2014-10-31,416.0
2014-11-01,675.0
2014-11-02,401.0
2014-11-03,270.0
2014-11-04,158.0
2014-11-05,270.0
2014-11-06,200.0
2014-11-07,268.0
2014-11-08,277.0
2014-11-09,270.0
2014-11-10,182.0
2014-11-11,187.0
2014-11-12,269.0
2014-11-13,136.0
2014-11-14,235.0
2014-11-15,307.0
2014-11-16,287.0
2014-11-17,159.0
2014-11-18,156.0
2014-11-19,211.0
2014-11-20,208.0
2014-11-21,239.0
2014-11-22,317.0
2014-11-23,276.0
2014-11-24,146.0
2014-11-25,155.0
2014-11-26,207.0
2014-11-27,176.0
2014-11-28,249.0
2014-11-29,332.0
2014-11-30,273.0
2014-12-01,114.0
2014-12-02,168.0
2014-12-03,240.0
2014-12-04,185.0
2014-12-05,254.0
2014-12-06,324.0
2014-12-07,263.0
2014-12-08,146.0
2014-12-09,180.0
2014-12-10,195.0
2014-12-11,205.0
2014-12-12,249.0
2014-12-13,319.0
2014-12-14,224.0
2014-12-15,150.0
2014-12-16,228.0
2014-12-17,225.0
2014-12-18,204.0
2014-12-19,260.0
2014-12-20,274.0
2014-12-21,304.0
2014-12-22,304.0
2014-12-23,330.0
2014-12-24,405.0
2014-12-26,313.0
2014-12-27,260.0
2014-12-28,241.0
2014-12-29,203.0
2014-12-30,394.0
2014-12-31,505.0
2015-01-01,7.0
2015-01-02,303.0
2015-01-03,220.0
2015-01-04,145.0
2015-01-05,102.0
2015-01-06,185.0
2015-01-07,243.0
2015-01-08,170.0
2015-01-09,238.0
2015-01-10,338.0
2015-01-11,313.0
2015-01-12,176.0
2015-01-13,178.0
2015-01-14,239.0
2015-01-15,191.0
2015-01-16,267.0
2015-01-17,362.0
2015-01-18,266.0
2015-01-19,187.0
2015-01-20,177.0
2015-01-21,249.0
2015-01-22,178.0
2015-01-23,199.0
2015-01-24,346.0
2015-01-25,298.0
2015-01-26,155.0
2015-01-27,156.0
2015-01-28,221.0
2015-01-29,136.0
2015-01-30,281.0
2015-01-31,356.0
2015-02-01,327.0
2015-02-02,168.0
2015-02-03,173.0
2015-02-04,245.0
2015-02-05,183.0
2015-02-06,260.0
2015-02-07,367.0
2015-02-08,253.0
2015-02-09,175.0
2015-02-10,228.0
2015-02-11,297.0
2015-02-12,189.0
2015-02-13,382.0
2015-02-14,543.0
2015-02-15,353.0
2015-02-16,339.0
2015-02-17,268.0
2015-02-18,270.0
2015-02-19,158.0
2015-02-20,256.0
2015-02-21,315.0
2015-02-22,242.0
2015-02-23,180.0
2015-02-24,190.0
2015-02-25,252.0
2015-02-26,176.0
2015-02-27,244.0
2015-02-28,367.0
2015-03-01,296.0
2015-03-02,194.0
2015-03-03,190.0
2015-03-04,280.0
2015-03-05,200.0
2015-03-06,275.0
2015-03-07,380.0
2015-03-08,414.0
2015-03-09,196.0
2015-03-10,222.0
2015-03-11,259.0
2015-03-12,182.0
2015-03-13,227.0
2015-03-14,343.0
2015-03-15,288.0
2015-03-16,159.0
2015-03-17,203.0
2015-03-18,254.0
2015-03-19,218.0
2015-03-20,246.0
2015-03-21,360.0
2015-03-22,338.0
2015-03-23,155.0
2015-03-24,192.0
2015-03-25,261.0
2015-03-26,166.0
2015-03-27,214.0
2015-03-28,335.0
2015-03-29,275.0
2015-03-30,169.0
2015-03-31,203.0
2015-04-01,291.0
2015-04-02,276.0
2015-04-03,297.0
2015-04-04,361.0
2015-04-05,285.0
2015-04-06,190.0
2015-04-07,227.0
2015-04-08,266.0
2015-04-09,145.0
2015-04-10,250.0
2015-04-11,324.0
2015-04-12,278.0
2015-04-13,155.0
2015-04-14,203.0
2015-04-15,267.0
2015-04-16,141.0
2015-04-17,259.0
2015-04-18,322.0
2015-04-19,295.0
2015-04-20,156.0
2015-04-21,164.0
2015-04-22,285.0
2015-04-23,199.0
2015-04-24,226.0
2015-04-25,324.0
2015-04-26,273.0
2015-04-27,173.0
2015-04-28,169.0
2015-04-29,279.0
2015-04-30,260.0
2015-05-01,426.0
2015-05-02,340.0
2015-05-03,276.0
2015-05-04,150.0
2015-05-05,190.0
2015-05-06,283.0
2015-05-07,178.0
2015-05-08,350.0
2015-05-09,746.0
2015-05-10,544.0
2015-05-11,139.0
2015-05-12,144.0
2015-05-13,246.0
2015-05-14,146.0
2015-05-15,260.0
2015-05-16,312.0
2015-05-17,288.0
2015-05-18,147.0
2015-05-19,188.0
2015-05-20,275.0
2015-05-21,167.0
2015-05-22,283.0
2015-05-23,343.0
2015-05-24,246.0
2015-05-25,152.0
2015-05-26,165.0
2015-05-27,277.0
2015-05-28,186.0
2015-05-29,266.0
2015-05-30,327.0
2015-05-31,311.0
2015-06-01,179.0
2015-06-02,194.0
2015-06-03,290.0
2015-06-04,188.0
2015-06-05,272.0
2015-06-06,369.0
2015-06-07,249.0
2015-06-08,161.0
2015-06-09,174.0
2015-06-10,318.0
2015-06-11,183.0
2015-06-12,288.0
2015-06-13,303.0
2015-06-14,267.0
2015-06-15,156.0
2015-06-16,189.0
2015-06-17,266.0
2015-06-18,167.0
2015-06-19,370.0
2015-06-20,534.0
2015-06-21,384.0
2015-06-22,157.0
2015-06-23,182.0
2015-06-24,273.0
2015-06-25,170.0
2015-06-26,264.0
2015-06-27,309.0
2015-06-28,212.0
2015-06-29,169.0
2015-06-30,197.0
2015-07-01,265.0
2015-07-02,211.0
2015-07-03,313.0
2015-07-04,391.0
2015-07-05,294.0
2015-07-06,167.0
2015-07-07,179.0
2015-07-08,258.0
2015-07-09,184.0
2015-07-10,245.0
2015-07-11,290.0
2015-07-12,264.0
2015-07-13,153.0
2015-07-14,208.0
2015-07-15,300.0
2015-07-16,181.0
2015-07-17,252.0
2015-07-18,358.0
2015-07-19,288.0
2015-07-20,172.0
2015-07-21,230.0
2015-07-22,296.0
2015-07-23,173.0
2015-07-24,251.0
2015-07-25,375.0
2015-07-26,217.0
2015-07-27,188.0
2015-07-28,201.0
2015-07-29,272.0
2015-07-30,189.0
2015-07-31,284.0
2015-08-01,372.0
2015-08-02,283.0
2015-08-03,160.0
2015-08-04,223.0
2015-08-05,282.0
2015-08-06,209.0
2015-08-07,268.0
2015-08-08,330.0
2015-08-09,282.0
2015-08-10,228.0
2015-08-11,163.0
2015-08-12,273.0
2015-08-13,175.0
2015-08-14,246.0
2015-08-15,268.0
2015-08-16,220.0
2015-08-17,154.0
2015-08-18,187.0
2015-08-19,264.0
2015-08-20,155.0
2015-08-21,261.0
2015-08-22,317.0
2015-08-23,266.0
2015-08-24,162.0
2015-08-25,170.0
2015-08-26,244.0
2015-08-27,223.0
2015-08-28,282.0
2015-08-29,318.0
2015-08-30,263.0
2015-08-31,176.0
2015-09-01,254.0
2015-09-02,250.0
2015-09-03,235.0
2015-09-04,251.0
2015-09-05,315.0
2015-09-06,277.0
2015-09-07,176.0
2015-09-08,213.0
2015-09-09,314.0
2015-09-10,202.0
2015-09-11,303.0
2015-09-12,338.0
2015-09-13,269.0
2015-09-14,157.0
2015-09-15,222.0
2015-09-16,326.0
2015-09-17,208.0
2015-09-18,290.0
2015-09-19,349.0
2015-09-20,246.0
2015-09-21,137.0
2015-09-22,180.0
2015-09-23,291.0
2015-09-24,200.0
2015-09-25,279.0
2015-09-26,329.0
2015-09-27,299.0
2015-09-28,169.0
2015-09-29,206.0
2015-09-30,282.0
2015-10-01,202.0
2015-10-02,300.0
2015-10-03,342.0
2015-10-04,408.0
2015-10-05,165.0
2015-10-06,209.0
2015-10-07,231.0
2015-10-08,266.0
2015-10-09,440.0
2015-10-10,370.0
2015-10-11,270.0
2015-10-12,158.0
2015-10-13,187.0
2015-10-14,297.0
2015-10-15,178.0
2015-10-16,273.0
2015-10-17,342.0
2015-10-18,346.0
2015-10-19,161.0
2015-10-20,195.0
2015-10-21,275.0
2015-10-22,161.0
