ds,y
2013-01-01,5.0
2013-01-02,469.0
2013-01-03,366.0
2013-01-04,382.0
2013-01-05,458.0
2013-01-06,781.0
2013-01-07,480.0
2013-01-08,484.0
2013-01-09,547.0
2013-01-10,466.0
2013-01-11,462.0
2013-01-12,660.0
2013-01-13,914.0
2013-01-14,701.0
2013-01-15,612.0
2013-01-16,607.0
2013-01-17,552.0
2013-01-18,686.0
2013-01-19,974.0
2013-01-20,990.0
2013-01-21,649.0
2013-01-22,570.0
2013-01-23,652.0
2013-01-24,602.0
2013-01-25,546.0
2013-01-26,778.0
2013-01-27,762.0
2013-01-28,562.0
2013-01-29,490.0
2013-01-30,500.0
2013-01-31,559.0
2013-02-01,546.0
2013-02-02,804.0
2013-02-03,890.0
2013-02-04,497.0
2013-02-05,578.0
2013-02-06,730.0
2013-02-07,787.0
2013-02-08,772.0
2013-02-09,986.0
2013-02-10,912.0
2013-02-11,601.0
2013-02-12,813.0
2013-02-13,588.0
2013-02-14,672.0
2013-02-15,380.0
2013-02-16,506.0
2013-02-17,444.0
2013-02-18,387.0
2013-02-19,359.0
2013-02-20,329.0
2013-02-21,303.0
2013-02-22,297.0
2013-02-23,464.0
2013-02-24,500.0
2013-02-25,342.0
2013-02-26,299.0
2013-02-27,278.0
2013-02-28,389.0
2013-03-01,439.0
2013-03-02,594.0
2013-03-03,701.0
2013-03-04,433.0
2013-03-05,397.0
2013-03-06,490.0
2013-03-07,397.0
2013-03-08,320.0
2013-03-09,532.0
2013-03-10,478.0
2013-03-11,325.0
2013-03-12,352.0
2013-03-13,276.0
2013-03-14,296.0
2013-03-15,388.0
2013-03-16,614.0
2013-03-17,579.0
2013-03-18,405.0
2013-03-19,406.0
2013-03-20,427.0
2013-03-21,359.0
2013-03-22,301.0
2013-03-23,503.0
2013-03-24,436.0
2013-03-25,379.0
2013-03-26,337.0
2013-03-27,377.0
2013-03-28,349.0
2013-03-29,470.0
2013-03-30,493.0
2013-03-31,449.0
2013-04-01,439.0
2013-04-02,428.0
2013-04-03,393.0
2013-04-04,406.0
2013-04-05,397.0
2013-04-06,602.0
2013-04-07,535.0
2013-04-08,472.0
2013-04-09,319.0
2013-04-10,366.0
2013-04-11,342.0
2013-04-12,364.0
2013-04-13,465.0
2013-04-14,549.0
2013-04-15,374.0
2013-04-16,445.0
2013-04-17,352.0
2013-04-18,417.0
2013-04-19,354.0
2013-04-20,536.0
2013-04-21,517.0
2013-04-22,351.0
2013-04-23,366.0
2013-04-24,375.0
2013-04-25,345.0
2013-04-26,342.0
2013-04-27,556.0
2013-04-28,529.0
