ds,y
2013-01-01,25.0
2013-01-02,17204.0
2013-01-03,12568.0
2013-01-04,11303.0
2013-01-05,16819.0
2013-01-06,19665.0
2013-01-07,11205.0
2013-01-08,12109.0
2013-01-09,9489.0
2013-01-10,7584.0
2013-01-11,7729.0
2013-01-12,11617.0
2013-01-13,14566.0
2013-01-14,8259.0
2013-01-15,8790.0
2013-01-16,9366.0
2013-01-17,7503.0
2013-01-18,7462.0
2013-01-19,12848.0
2013-01-20,14703.0
2013-01-21,9067.0
2013-01-22,9960.0
2013-01-23,7630.0
2013-01-24,6254.0
2013-01-25,6904.0
2013-01-26,12274.0
2013-01-27,13553.0
2013-01-28,8176.0
2013-01-29,7431.0
2013-01-30,7460.0
2013-01-31,8193.0
2013-02-01,10841.0
2013-02-02,17520.0
2013-02-03,17617.0
2013-02-04,11030.0
2013-02-05,9921.0
2013-02-06,9335.0
2013-02-07,8018.0
2013-02-08,8020.0
2013-02-09,11353.0
2013-02-10,7945.0
2013-02-11,6600.0
2013-02-12,8351.0
2013-02-13,8129.0
2013-02-14,9666.0
2013-02-15,7944.0
2013-02-16,14350.0
2013-02-17,11993.0
2013-02-18,9869.0
2013-02-19,7897.0
2013-02-20,8560.0
2013-02-21,6854.0
2013-02-22,6695.0
2013-02-23,10854.0
2013-02-24,13474.0
2013-02-25,8422.0
2013-02-26,7350.0
2013-02-27,7426.0
2013-02-28,8030.0
2013-03-01,11094.0
2013-03-02,17706.0
2013-03-03,19073.0
2013-03-04,11864.0
2013-03-05,9922.0
2013-03-06,9368.0
2013-03-07,8312.0
2013-03-08,7487.0
2013-03-09,12859.0
2013-03-10,14042.0
2013-03-11,8704.0
2013-03-12,7045.0
2013-03-13,7171.0
2013-03-14,6167.0
2013-03-15,7819.0
2013-03-16,13643.0
2013-03-17,15553.0
2013-03-18,9393.0
2013-03-19,7698.0
2013-03-20,8108.0
2013-03-21,6670.0
2013-03-22,7142.0
2013-03-23,11730.0
2013-03-24,12883.0
2013-03-25,8110.0
2013-03-26,6784.0
2013-03-27,7379.0
2013-03-28,8017.0
2013-03-29,8852.0
2013-03-30,14133.0
2013-03-31,14526.0
2013-04-01,13536.0
2013-04-02,11852.0
2013-04-03,10776.0
2013-04-04,9389.0
2013-04-05,11001.0
2013-04-06,16044.0
2013-04-07,17984.0
2013-04-08,10882.0
2013-04-09,9196.0
2013-04-10,9327.0
2013-04-11,7747.0
2013-04-12,8479.0
2013-04-13,14377.0
2013-04-14,15565.0
2013-04-15,10226.0
2013-04-16,10284.0
2013-04-17,9835.0
2013-04-18,7553.0
2013-04-19,8087.0
2013-04-20,13733.0
2013-04-21,15929.0
2013-04-22,9849.0
2013-04-23,8714.0
2013-04-24,8470.0
2013-04-25,6906.0
2013-04-26,6739.0
2013-04-27,12022.0
2013-04-28,14453.0
2013-04-29,9045.0
2013-04-30,8543.0
2013-05-01,16146.0
2013-05-02,9857.0
2013-05-03,9393.0
2013-05-04,15537.0
2013-05-05,17828.0
2013-05-06,10211.0
2013-05-07,8614.0
2013-05-08,8630.0
2013-05-09,7695.0
2013-05-10,7306.0
2013-05-11,12324.0
2013-05-12,10604.0
2013-05-13,9222.0
2013-05-14,8022.0
2013-05-15,9081.0
2013-05-16,7783.0
2013-05-17,7869.0
2013-05-18,13404.0
2013-05-19,15117.0
2013-05-20,9165.0
2013-05-21,9167.0
2013-05-22,7347.0
2013-05-23,6529.0
2013-05-24,10565.0
2013-05-25,10890.0
2013-05-26,12365.0
2013-05-27,7926.0
2013-05-28,7527.0
2013-05-29,7261.0
2013-05-30,7282.0
2013-05-31,8320.0
2013-06-01,16367.0
2013-06-02,19338.0
2013-06-03,12550.0
2013-06-04,10467.0
2013-06-05,9623.0
2013-06-06,9100.0
2013-06-07,7417.0
2013-06-08,12313.0
2013-06-09,14375.0
2013-06-10,8537.0
2013-06-11,6312.0
2013-06-12,7380.0
2013-06-13,5939.0
2013-06-14,6287.0
2013-06-15,11784.0
2013-06-16,11192.0
2013-06-17,9436.0
2013-06-18,7867.0
2013-06-19,7298.0
2013-06-20,6666.0
2013-06-21,7105.0
2013-06-22,11734.0
2013-06-23,14185.0
2013-06-24,9191.0
2013-06-25,7875.0
2013-06-26,7477.0
2013-06-27,6935.0
2013-06-28,8000.0
2013-06-29,15200.0
2013-06-30,16775.0
2013-07-01,13919.0
2013-07-02,12490.0
2013-07-03,10922.0
2013-07-04,9112.0
2013-07-05,8964.0
2013-07-06,14419.0
2013-07-07,15433.0
2013-07-08,11434.0
2013-07-09,9394.0
2013-07-10,8213.0
2013-07-11,7966.0
2013-07-12,6477.0
2013-07-13,10962.0
2013-07-14,12170.0
2013-07-15,8770.0
2013-07-16,8798.0
2013-07-17,7995.0
2013-07-18,6411.0
2013-07-19,7126.0
2013-07-20,10791.0
2013-07-21,11992.0
2013-07-22,8797.0
2013-07-23,7968.0
2013-07-24,7604.0
2013-07-25,7198.0
2013-07-26,6901.0
2013-07-27,11014.0
2013-07-28,12425.0
2013-07-29,8943.0
2013-07-30,8722.0
2013-07-31,10325.0
2013-08-01,11326.0
2013-08-02,10675.0
2013-08-03,15424.0
2013-08-04,15648.0
2013-08-05,11455.0
2013-08-06,9761.0
2013-08-07,9024.0
2013-08-08,7744.0
2013-08-09,8249.0
2013-08-10,11173.0
2013-08-11,12185.0
2013-08-12,8830.0
2013-08-13,8027.0
2013-08-14,9318.0
2013-08-15,7768.0
2013-08-16,8576.0
2013-08-17,11459.0
2013-08-18,13122.0
2013-08-19,9749.0
2013-08-20,8942.0
2013-08-21,8560.0
2013-08-22,7013.0
2013-08-23,7326.0
2013-08-24,11027.0
2013-08-25,12497.0
2013-08-26,8698.0
2013-08-27,8602.0
2013-08-28,7799.0
2013-08-29,6996.0
2013-08-30,8754.0
2013-08-31,14809.0
2013-09-01,20252.0
2013-09-02,13668.0
2013-09-03,11287.0
2013-09-04,11986.0
2013-09-05,8772.0
2013-09-06,7670.0
