ds,y
2013-01-01,42.637
2013-01-02,13975.884938
2013-01-03,10674.393983
2013-01-04,10772.515038
2013-01-05,13475.009055
2013-01-06,15921.096981
2013-01-07,10086.555999
2013-01-08,8724.139959
2013-01-09,8488.299022
2013-01-10,7398.100995
2013-01-11,9349.832018
2013-01-12,11391.5189905
2013-01-13,14662.882989
2013-01-14,8381.717039
2013-01-15,8715.745979
2013-01-16,9081.146008
2013-01-17,7620.589976
2013-01-18,9281.115986
2013-01-19,12669.534942
2013-01-20,14530.792997
2013-01-21,9278.286965
2013-01-22,7386.559012
2013-01-23,8236.131007
2013-01-24,7133.687974
2013-01-25,9472.988986
2013-01-26,12336.019999
2013-01-27,13938.214045
2013-01-28,8585.101014
2013-01-29,7318.931993
2013-01-30,7812.140023
2013-01-31,7515.26502
2013-02-01,12681.827035
2013-02-02,15624.826805
2013-02-03,16522.964032
2013-02-04,10379.74896
2013-02-05,9095.463058
2013-02-06,8607.582996
2013-02-07,8081.0440149999995
2013-02-08,9960.698951
2013-02-09,11998.345011
2013-02-10,9074.26499
2013-02-11,8642.55796
2013-02-12,10367.136934
2013-02-13,8411.432997
2013-02-14,7762.873973
2013-02-15,9649.863978
2013-02-16,13974.86604
2013-02-17,12054.484042
2013-02-18,10167.533059
2013-02-19,7843.538969
2013-02-20,8211.301005
2013-02-21,7423.853983
2013-02-22,8862.193054
2013-02-23,12487.798069
2013-02-24,14674.940068
2013-02-25,8917.479995
2013-02-26,7546.365001
2013-02-27,7598.254984
2013-02-28,7743.117933
2013-03-01,12374.51606
2013-03-02,16380.87509
2013-03-03,18187.60901
2013-03-04,10869.801976
2013-03-05,9323.364069
2013-03-06,8976.226003
2013-03-07,8102.016018
2013-03-08,9923.214022
2013-03-09,12916.680949
2013-03-10,14451.378143
2013-03-11,8940.910014
2013-03-12,7071.4070090000005
2013-03-13,7867.7740269999995
2013-03-14,6875.926001
2013-03-15,9997.117011
2013-03-16,13590.082988
2013-03-17,15441.773978000001
2013-03-18,8626.865018
2013-03-19,7693.962982
2013-03-20,8149.442001
2013-03-21,7021.581991
2013-03-22,8947.814017
2013-03-23,12476.98311
2013-03-24,13416.972104
2013-03-25,8110.58896
2013-03-26,6320.350016
2013-03-27,6657.21602
2013-03-28,6570.192011
2013-03-29,8595.298999
2013-03-30,11989.508057
2013-03-31,12932.013073
2013-04-01,11456.621007
2013-04-02,10417.988021
2013-04-03,9475.532042
2013-04-04,8505.154995
2013-04-05,10348.492984
2013-04-06,13598.484
2013-04-07,15874.582913
2013-04-08,9180.722956
2013-04-09,7886.891002
2013-04-10,8164.493956
2013-04-11,6950.238996
2013-04-12,9726.889066
2013-04-13,12267.050979
2013-04-14,14216.171872
2013-04-15,9598.817041
2013-04-16,9545.88104
2013-04-17,8594.797006
2013-04-18,7495.189993
2013-04-19,9507.357984
2013-04-20,12551.315994
2013-04-21,14540.00707
2013-04-22,8992.139009
2013-04-23,8319.521975
2013-04-24,7886.022994
2013-04-25,7251.42798
2013-04-26,9402.678013
2013-04-27,12145.848971
2013-04-28,14644.298005
2013-04-29,8312.002013
2013-04-30,8383.902962
2013-05-01,14286.17595
2013-05-02,9714.145061
2013-05-03,11378.700001000001
2013-05-04,13927.779953
2013-05-05,16896.579859999998
2013-05-06,10161.437
2013-05-07,8628.016045
2013-05-08,8565.045974999999
2013-05-09,8958.417018
2013-05-10,10857.287957
2013-05-11,14943.808068
2013-05-12,11906.278989
2013-05-13,9020.288977
2013-05-14,7814.79801
2013-05-15,8510.219022
2013-05-16,8298.688038
2013-05-17,10346.694959
2013-05-18,12639.514958
2013-05-19,14625.703966000001
2013-05-20,9244.39802
2013-05-21,7626.935957
2013-05-22,7411.871993
2013-05-23,7839.4350460000005
2013-05-24,11906.765929
2013-05-25,11154.563935
2013-05-26,12363.980977
2013-05-27,8601.401966
2013-05-28,7842.453047
2013-05-29,7723.819953
2013-05-30,8257.06699
2013-05-31,10176.411982
2013-06-01,16267.957975
2013-06-02,19121.498997
2013-06-03,12269.162968
2013-06-04,10092.253061
2013-06-05,9605.557007
2013-06-06,8548.65097
2013-06-07,11285.162955
2013-06-08,12531.440011
2013-06-09,15415.229227
2013-06-10,9537.819991
2013-06-11,6881.2890179999995
2013-06-12,7879.82401
2013-06-13,7199.532014
2013-06-14,10279.31597
2013-06-15,15399.890964
2013-06-16,13141.984984
2013-06-17,9582.033005
2013-06-18,8455.552967
2013-06-19,8213.58396
2013-06-20,7808.092014
2013-06-21,9953.314014
2013-06-22,12009.276036
2013-06-23,15344.742955
2013-06-24,9131.403024
2013-06-25,7797.080974
2013-06-26,7772.2670216
2013-06-27,6967.97001
2013-06-28,9927.269978
2013-06-29,13464.072032
2013-06-30,15468.165005
2013-07-01,11882.548017
2013-07-02,10460.68603
2013-07-03,10100.861928
2013-07-04,8960.138961
2013-07-05,10997.397002
2013-07-06,13164.834999
