ds,y
1982-01-01,4160.0
1982-02-01,3960.0
1982-03-01,4170.0
1982-04-01,6180.0
1982-05-01,5520.0
1982-06-01,3750.0
1982-07-01,3400.0
1982-08-01,5170.0
1982-09-01,3890.0
1982-10-01,3580.0
1982-11-01,3130.0
1982-12-01,4950.0
1983-01-01,4310.0
1983-02-01,3830.0
1983-03-01,5430.0
1983-04-01,4580.0
1983-05-01,6270.0
1983-06-01,4740.0
1983-07-01,3260.0
1983-08-01,5970.0
1983-09-01,6910.0
1983-10-01,6380.0
1983-11-01,6460.0
1983-12-01,4570.0
1984-01-01,5660.0
1984-02-01,5100.0
1984-03-01,4140.0
1984-04-01,5380.0
1984-05-01,6560.0
1984-06-01,3650.0
1984-07-01,2970.0
1984-08-01,8360.0
1984-09-01,6240.0
1984-10-01,4260.0
1984-11-01,3740.0
1984-12-01,5980.0
1985-01-01,6300.0
1985-02-01,4370.0
1985-03-01,4490.0
1985-04-01,7600.0
1985-05-01,6920.0
1985-06-01,3200.0
1985-07-01,2280.0
1985-08-01,5440.0
1985-09-01,5450.0
1985-10-01,4340.0
1985-11-01,2690.0
1985-12-01,6550.0
1986-01-01,7650.0
1986-02-01,3870.0
1986-03-01,4290.0
1986-04-01,8530.0
1986-05-01,6200.0
1986-06-01,2260.0
1986-07-01,1600.0
1986-08-01,3580.0
1986-09-01,5480.0
1986-10-01,2990.0
1986-11-01,3260.0
1986-12-01,5490.0
1987-01-01,7520.0
1987-02-01,4730.0
1987-03-01,5710.0
1987-04-01,7680.0
1987-05-01,4860.0
1987-06-01,5920.0
1987-07-01,2260.0
1987-08-01,4400.0
1987-09-01,5520.0
1987-10-01,4000.0
1987-11-01,3660.0
1987-12-01,5770.0
1988-01-01,6990.0
1988-02-01,4220.0
1988-03-01,4360.0
1988-04-01,6880.0
1988-05-01,5360.0
1988-06-01,3920.0
1988-07-01,2800.0
1988-08-01,4670.0
1988-09-01,3470.0
1988-10-01,4400.0
1988-11-01,4470.0
1988-12-01,5480.0
1989-01-01,5790.0
1989-02-01,3440.0
1989-03-01,4010.0
1989-04-01,7310.0
1989-05-01,6370.0
1989-06-01,2380.0
1989-07-01,2560.0
1989-08-01,5290.0
1989-09-01,4090.0
1989-10-01,4890.0
1989-11-01,4140.0
1989-12-01,7620.0
1990-01-01,5600.0
1990-02-01,3650.0
1990-03-01,4540.0
1990-04-01,7090.0
1990-05-01,6320.0
1990-06-01,3270.0
1990-07-01,2750.0
1990-08-01,6630.0
1990-09-01,3080.0
1990-10-01,4180.0
1990-11-01,4410.0
1990-12-01,5490.0
1991-01-01,6020.0
1991-02-01,3270.0
1991-03-01,3930.0
1991-04-01,7400.0
1991-05-01,7350.0
1991-06-01,2270.0
1991-07-01,2360.0
1991-08-01,6870.0
1991-09-01,3460.0
1991-10-01,3880.0
1991-11-01,3040.0
1991-12-01,4540.0
1992-01-01,6800.0
1992-02-01,4060.0
1992-03-01,5620.0
1992-04-01,7790.0
1992-05-01,8480.0
1992-06-01,2610.0
1992-07-01,2780.0
1992-08-01,6020.0
1992-09-01,3800.0
1992-10-01,4380.0
1992-11-01,2290.0
1992-12-01,4390.0
1993-01-01,5040.0
1993-02-01,5440.0
1993-03-01,5110.0
1993-04-01,7880.0
1993-05-01,9260.0
1993-06-01,2800.0
1993-07-01,1930.0
1993-08-01,4440.0
1993-09-01,5030.0
1993-10-01,4200.0
1993-11-01,4320.0
1993-12-01,4010.0
