step,y
1,3432.68
2,3503.18
3,3232.17
4,3354.13
5,3215.95
6,3222.32
7,3217.94
8,3242.19
9,3253.71
10,3372.25
11,3324.29
12,3289.99
13,3330.89
14,3193.6
15,3269.19
16,3132.23
17,3096.59
18,3050.03
19,2963.36
20,3045.79
21,3109.6
22,3167.01
23,3070.72
24,3009.1
25,2831.89
26,2740.92
27,2769.67
28,2674.59
29,2602.06
30,2650.11
31,2605.84
32,2536.08
33,2500.03
34,2503.18
35,2523.6
36,2622.39
37,2591.54
38,2527.78
39,2461.81
40,2526.23
41,2519.69
42,2445.96
43,2482.51
44,2515.06
45,2676.3
46,2645.36
47,2755.21
48,2774.69
49,2634.82
50,2802.47
51,2638.88
52,2679.35
53,2879.4
54,2821.79
55,2814.67
56,2996.64
57,2913.0
58,2990.0
59,3084.6
60,3090.84
61,3182.41
62,3090.83
63,3070.12
64,2955.56
65,3074.07
66,3219.01
67,3371.23
68,3382.98
69,3318.4
70,3074.24
71,3286.14
72,3195.97
73,3035.55
74,2930.8
75,2920.21
76,2809.71
77,2712.89
78,2733.43
79,2767.55
80,2697.25
81,2680.71
82,2742.4
83,2651.48
84,2679.04
85,2597.79
86,2578.82
87,2638.51
88,2668.99
89,2693.72
90,2719.33
91,2619.75
92,2520.77
93,2571.84
94,2630.36
95,2664.17
96,2746.07
97,2873.42
98,2754.64
99,2703.93
100,2720.41
101,2913.8
102,2935.72
103,2780.94
104,2780.13
105,2638.39
106,2646.98
107,2816.09
108,2780.04
109,2811.14
110,3081.69
111,3528.09
112,3353.96
113,3253.72
114,3198.2
115,3379.64
116,3447.31
117,3476.74
118,3351.57
119,3353.22
120,3160.49
121,3175.98
122,3107.78
123,3120.51
124,3128.26
125,3050.73
126,3327.33
127,3041.59
128,3119.56
129,3109.08
130,3005.3
131,3043.91
132,3070.25
133,3107.94
134,3064.44
135,2955.26
136,3094.92
137,3137.83
138,3172.52
139,3166.33
140,3212.42
141,3110.86
142,3059.87
143,3028.31
144,2965.09
145,2910.36
146,3009.89
147,2907.12
148,2901.18
149,2877.93
150,2999.26
151,3089.62
152,3166.12
153,3256.63
154,3221.33
155,3277.62
156,3208.43
157,3250.31
158,3125.68
159,3254.36
160,3180.07
161,3218.2
162,3118.44
163,3083.71
164,3013.7
165,3187.36
166,3174.57
167,3291.55
168,3262.07
169,3218.65
170,3198.3
171,3108.18
172,3054.76
173,3010.11
174,3006.09
175,3039.5
176,3032.26
177,3062.13
178,3031.92
179,3129.98
180,3092.91
181,3031.8
182,3052.15
183,3011.85
184,3032.99
185,2977.09
186,2902.17
187,2872.01
188,2854.89
189,2887.84
190,2871.33
191,2846.22
192,2805.13
193,2757.83
194,2728.16
195,2683.75
196,2710.39
197,2614.29
198,2712.01
199,2719.71
200,2672.5
201,2746.96
202,2625.35
203,2602.04
204,2636.18
205,2529.52
206,2497.75
207,2565.05
208,2494.35
209,2489.53
210,2429.35
211,2430.18
212,2310.19
213,2287.13
214,2264.34
215,2257.65
216,2219.72
217,2217.29
218,2238.71
219,2223.78
220,2206.28
221,2224.74
222,2098.77
223,2074.26
224,2036.19
225,1998.09
226,1999.42
227,2006.33
228,2022.89
229,2021.76
230,2041.0
231,2104.02
232,2036.42
233,2057.41
234,2050.77
235,1985.08
236,2033.06
237,1983.4
238,1959.88
239,1987.64
240,2069.78
241,1984.5
242,2031.78
243,2080.51
244,2063.15
245,2027.42
246,2037.43
247,1994.83
248,1993.1
249,1909.57
250,1936.94
251,1941.64
252,1960.71
253,2046.81
254,2005.71
255,2043.97
256,2025.86
257,2044.54
258,1938.52
259,1954.47
260,1969.49
261,1960.65
262,1897.06
263,1961.53
264,1961.37
265,1971.96
266,1909.99
267,1934.84
268,1968.63
269,2034.36
270,2040.87
271,2014.51
272,2050.21
273,2020.92
274,2073.14
275,2012.49
276,1994.44
277,2171.74
278,2116.2
279,2000.1
280,2117.16
281,2109.95
282,2162.31
283,2218.25
284,2207.06
285,2230.07
286,2312.96
287,2179.54
288,2233.78
289,2474.87
290,2557.07
291,2632.56
292,2824.57
293,2604.72
294,2527.6
295,2420.91
296,2435.37
297,2387.51
298,2705.31
299,2517.95
300,2355.97
301,2353.07
302,2295.5
303,2305.23
304,2183.34
305,2221.91
306,2106.58
307,2214.69
308,2080.92
309,2143.71
310,2086.3
311,2044.6
312,2031.71
313,2007.72
314,1849.63
315,2082.6
316,2024.9
317,2035.78
318,2019.38
319,2072.07
320,2086.02
321,2057.6
322,2212.24
323,2094.42
324,2142.29
325,1955.57
326,2089.25
327,2103.88
328,2026.68
329,2249.81
330,2077.5
331,2165.15
332,2175.56
333,2108.14
334,2091.37
335,2037.77
336,2088.97
337,1990.69
338,1946.38
339,1946.25
340,1943.26
341,2020.41
342,2064.83
343,2288.7
344,2050.78
345,2133.92
346,2340.43
347,2162.41
348,2287.6
349,2154.38
350,2114.34
351,2085.86
352,2066.06
353,2177.3
354,2171.44
355,2165.66
356,2033.72
357,2031.36
358,2135.07
359,2145.01
360,2027.45
361,2036.06
362,2046.24
363,2186.7
364,2208.81
365,2321.76
366,2429.01
367,2502.65
368,2406.81
369,2252.97
370,2284.54
371,2315.73
372,2375.02
373,2344.91
374,2330.32
375,2257.59
376,2285.8
377,2204.52
378,2193.75
379,2195.36
380,2057.7
381,2149.37
382,2022.19
383,2061.06
384,2031.96
385,1904.36
386,1962.29
387,2017.42
388,2020.85
389,1963.84
390,1942.14
391,1973.34
392,2009.61
