ds,y
2013-01-01,0.0
2013-01-02,4731.0
2013-01-03,4067.0
2013-01-04,4112.0
2013-01-05,2760.0
2013-01-06,0.0
2013-01-07,7924.0
2013-01-08,5947.0
2013-01-09,5422.0
2013-01-10,6322.0
2013-01-11,5385.0
2013-01-12,2783.0
2013-01-13,0.0
2013-01-14,3881.0
2013-01-15,3993.0
2013-01-16,3328.0
2013-01-17,4152.0
2013-01-18,4250.0
2013-01-19,3077.0
2013-01-20,0.0
2013-01-21,6835.0
2013-01-22,6601.0
2013-01-23,5352.0
2013-01-24,5660.0
2013-01-25,4874.0
2013-01-26,2626.0
2013-01-27,0.0
2013-01-28,5657.0
2013-01-29,3699.0
2013-01-30,3550.0
2013-01-31,4302.0
2013-02-01,4527.0
2013-02-02,3212.0
2013-02-03,0.0
2013-02-04,8241.0
2013-02-05,7418.0
2013-02-06,6738.0
2013-02-07,2552.0
2013-02-08,6129.0
2013-02-09,2102.0
2013-02-10,0.0
2013-02-11,1083.0
2013-02-12,4315.0
2013-02-13,4358.0
2013-02-14,4611.0
2013-02-15,4033.0
2013-02-16,3136.0
2013-02-17,0.0
2013-02-18,8211.0
2013-02-19,5683.0
2013-02-20,5702.0
2013-02-21,5328.0
2013-02-22,5414.0
2013-02-23,2459.0
2013-02-24,0.0
2013-02-25,3207.0
2013-02-26,3787.0
2013-02-27,3738.0
2013-02-28,4950.0
2013-03-01,4559.0
2013-03-02,3288.0
2013-03-03,0.0
2013-03-04,7835.0
2013-03-05,6206.0
2013-03-06,6125.0
2013-03-07,5518.0
2013-03-08,5788.0
2013-03-09,3009.0
2013-03-10,0.0
2013-03-11,4011.0
2013-03-12,2703.0
2013-03-13,4451.0
2013-03-14,4532.0
2013-03-15,4490.0
2013-03-16,2913.0
2013-03-17,0.0
2013-03-18,7716.0
2013-03-19,5193.0
2013-03-20,4372.0
2013-03-21,5827.0
2013-03-22,5232.0
2013-03-23,2540.0
2013-03-24,0.0
2013-03-25,6830.0
2013-03-26,6551.0
2013-03-27,6137.0
2013-03-28,7016.0
2013-03-29,0.0
2013-03-30,3948.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,4679.0
2013-04-03,3375.0
2013-04-04,4344.0
2013-04-05,3742.0
2013-04-06,2525.0
2013-04-07,0.0
2013-04-08,7066.0
2013-04-09,5618.0
2013-04-10,4295.0
2013-04-11,5522.0
2013-04-12,5444.0
2013-04-13,2559.0
2013-04-14,0.0
2013-04-15,3476.0
2013-04-16,3943.0
2013-04-17,3961.0
2013-04-18,3940.0
2013-04-19,3503.0
2013-04-20,3037.0
2013-04-21,0.0
2013-04-22,6929.0
2013-04-23,5647.0
2013-04-24,4835.0
2013-04-25,5350.0
2013-04-26,4699.0
2013-04-27,3016.0
2013-04-28,0.0
2013-04-29,7063.0
2013-04-30,6667.0
2013-05-01,0.0
2013-05-02,6928.0
2013-05-03,6495.0
2013-05-04,3248.0
2013-05-05,0.0
2013-05-06,4509.0
2013-05-07,3389.0
2013-05-08,4859.0
2013-05-09,0.0
2013-05-10,5534.0
2013-05-11,3243.0
2013-05-12,0.0
2013-05-13,6365.0
2013-05-14,5520.0
2013-05-15,5133.0
2013-05-16,5090.0
2013-05-17,4957.0
2013-05-18,3270.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,4202.0
2013-05-22,3562.0
2013-05-23,4184.0
2013-05-24,4028.0
2013-05-25,2568.0
2013-05-26,0.0
2013-05-27,7212.0
2013-05-28,5505.0
2013-05-29,5509.0
2013-05-30,0.0
2013-05-31,7614.0
2013-06-01,3610.0
2013-06-02,0.0
2013-06-03,6752.0
2013-06-04,5917.0
2013-06-05,5561.0
2013-06-06,4766.0
2013-06-07,5237.0
2013-06-08,2830.0
2013-06-09,0.0
2013-06-10,4059.0
2013-06-11,3759.0
2013-06-12,3643.0
2013-06-13,3621.0
2013-06-14,3944.0
2013-06-15,2953.0
2013-06-16,0.0
2013-06-17,7169.0
2013-06-18,5522.0
2013-06-19,4856.0
2013-06-20,5122.0
2013-06-21,4576.0
2013-06-22,2893.0
2013-06-23,0.0
2013-06-24,3401.0
2013-06-25,3707.0
2013-06-26,3251.0
2013-06-27,3834.0
2013-06-28,4041.0
2013-06-29,2611.0
2013-06-30,0.0
2013-07-01,7206.0
2013-07-02,6616.0
2013-07-03,4602.0
2013-07-04,6126.0
2013-07-05,5568.0
2013-07-06,2503.0
2013-07-07,0.0
2013-07-08,4425.0
2013-07-09,3786.0
2013-07-10,4532.0
2013-07-11,4156.0
2013-07-12,4180.0
2013-07-13,3321.0
