ds,y
2010-02-05,756.65
2010-02-12,617.75
2010-02-19,1066.0
2010-02-26,891.14
2010-03-05,939.88
2010-03-12,908.29
2010-03-19,976.71
2010-03-26,889.64
2010-04-02,1026.69
2010-04-09,912.79
2010-04-16,728.37
2010-04-23,881.05
2010-04-30,633.21
2010-05-07,755.01
2010-05-14,553.07
2010-05-21,621.99
2010-05-28,410.93
2010-06-04,448.94
2010-06-11,375.74
2010-06-18,412.81
2010-06-25,424.82
2010-07-02,333.92
2010-07-09,281.82
2010-07-16,426.06
2010-07-23,286.11
2010-07-30,232.51
2010-08-06,369.31
2010-08-13,324.38
2010-08-20,303.62
2010-08-27,371.33
2010-09-03,374.94
2010-09-10,367.12
2010-09-17,494.32
2010-09-24,633.89
2010-10-01,824.43
2010-10-08,779.86
2010-10-15,810.96
2010-10-22,1229.91
2010-10-29,1265.41
2010-11-05,1289.79
2010-11-12,981.9
2010-11-19,785.77
2010-11-26,916.89
2010-12-03,796.47
2010-12-10,1174.99
2010-12-17,977.08
2010-12-24,1413.34
2010-12-31,510.55
2011-01-07,570.54
2011-01-14,447.29
2011-01-21,749.83
2011-01-28,593.05
2011-02-04,583.22
2011-02-11,703.99
2011-02-18,750.78
2011-02-25,714.16
2011-03-04,927.12
2011-03-11,860.58
2011-03-18,714.4
2011-03-25,786.13
2011-04-01,724.72
2011-04-08,746.86
2011-04-15,927.43
2011-04-22,815.29
2011-04-29,777.05
2011-05-06,630.41
2011-05-13,615.29
2011-05-20,663.11
2011-05-27,406.7
2011-06-03,353.12
2011-06-10,433.55
2011-06-17,422.85
2011-06-24,351.95
2011-07-01,331.74
2011-07-08,278.09
2011-07-15,265.26
2011-07-22,211.76
2011-07-29,291.36
2011-08-05,198.13
2011-08-12,191.19
2011-08-19,288.56
2011-08-26,245.64
2011-09-02,264.29
2011-09-09,490.9
2011-09-16,423.18
2011-09-23,700.14
2011-09-30,607.91
2011-10-07,783.01
2011-10-14,794.21
2011-10-21,896.86
2011-10-28,937.21
2011-11-04,959.7
2011-11-11,1120.35
2011-11-18,971.4
2011-11-25,903.52
2011-12-02,725.41
2011-12-09,1038.03
2011-12-16,894.45
2011-12-23,1054.54
2011-12-30,914.75
2012-01-06,749.43
2012-01-13,596.45
2012-01-20,664.72
2012-01-27,603.4
2012-02-03,729.12
2012-02-10,804.97
2012-02-17,747.97
2012-02-24,735.26
2012-03-02,755.28
2012-03-09,930.12
2012-03-16,863.98
2012-03-23,800.67
2012-03-30,761.15
2012-04-06,747.9
2012-04-13,999.96
2012-04-20,658.03
2012-04-27,495.07
2012-05-04,780.0
2012-05-11,583.7
2012-05-18,671.43
2012-05-25,524.68
2012-06-01,308.78
2012-06-08,419.83
2012-06-15,470.81
2012-06-22,434.2
2012-06-29,379.83
2012-07-06,186.42
2012-07-13,299.42
2012-07-20,355.93
2012-07-27,252.72
2012-08-03,285.85
2012-08-10,478.38
2012-08-17,304.58
2012-08-24,378.3
2012-08-31,393.6
2012-09-07,420.35
2012-09-14,399.23
2012-09-21,551.48
2012-09-28,518.3
2012-10-05,610.27
2012-10-12,963.0
2012-10-19,838.59
2012-10-26,1206.0
