ds,y
2010-12-05,3141.34
2010-12-12,5992.27
2010-12-19,3061.5
2010-12-26,1158.99
2011-01-09,8626.65
2011-01-16,3581.7
2011-01-23,2867.05
2011-01-30,3325.71
2011-02-06,5308.4
2011-02-13,2401.96
2011-02-20,6522.48
2011-02-27,2994.26
2011-03-06,3271.45
2011-03-13,6443.4800000000005
2011-03-20,13712.83
2011-03-27,7981.8099999999995
2011-04-03,9622.82
2011-04-10,3219.84
2011-04-17,4979.31
2011-04-24,3756.88
2011-05-01,3989.78
2011-05-08,4729.49
2011-05-15,12305.31
2011-05-22,10742.85
2011-05-29,10483.86
2011-06-05,6168.03
2011-06-12,7863.56
2011-06-19,7448.75
2011-06-26,9219.43
2011-07-03,6774.36
2011-07-10,12132.66
2011-07-17,5015.78
2011-07-24,8609.28
2011-07-31,10275.32
2011-08-07,12611.02
2011-08-14,10215.39
2011-08-21,9347.68
2011-08-28,16955.57
2011-09-04,8745.65
2011-09-11,9970.75
2011-09-18,12726.35
2011-09-25,14502.87
2011-10-02,12115.01
2011-10-09,20173.36
2011-10-16,7795.18
2011-10-23,8730.44
2011-10-30,11002.23
2011-11-06,8910.68
2011-11-13,28745.68
2011-11-20,20932.41
2011-11-27,9786.82
2011-12-04,14712.69
2011-12-11,9302.98
