ds,y
2010-12-05,1220.44
2010-12-12,1948.3
2010-12-19,1907.39
2010-12-26,442.62
2011-01-09,2036.82
2011-01-16,1867.66
2011-01-23,1061.51
2011-01-30,2325.13
2011-02-06,2144.53
2011-02-13,1049.58
2011-02-20,1692.86
2011-02-27,1851.31
2011-03-06,1293.09
2011-03-13,1383.25
2011-03-20,1833.08
2011-03-27,2682.83
2011-04-03,4398.35
2011-04-10,1890.33
2011-04-17,5018.64
2011-04-24,3029.56
2011-05-01,2014.71
2011-05-08,3659.93
2011-05-15,8144.91
2011-05-22,5140.26
2011-05-29,4438.68
2011-06-05,2917.43
2011-06-12,4838.1
2011-06-19,3473.6
2011-06-26,4444.39
2011-07-03,3193.19
2011-07-10,5312.17
2011-07-17,3880.62
2011-07-24,7330.6
2011-07-31,6335.66
2011-08-07,6422.64
2011-08-14,6366.32
2011-08-21,4862.79
2011-08-28,6106.89
2011-09-04,4011.9
2011-09-11,4656.71
2011-09-18,5117.39
2011-09-25,3731.35
2011-10-02,3101.23
2011-10-09,4829.33
2011-10-16,3350.5299999999997
2011-10-23,2377.92
2011-10-30,3863.2999999999997
2011-11-06,4071.5699999999997
2011-11-13,7200.5199999999995
2011-11-20,6128.43
2011-11-27,5014.04
2011-12-04,4883.03
2011-12-11,4251.96
