ds,y
2010-12-05,2577.66
2010-12-12,4884.64
2010-12-19,3860.29
2010-12-26,1389.93
2011-01-09,2087.15
2011-01-16,2405.49
2011-01-23,2074.34
2011-01-30,1943.87
2011-02-06,2640.9300000000003
2011-02-13,1920.3899999999999
2011-02-20,2287.78
2011-02-27,2546.63
2011-03-06,4141.84
2011-03-13,3167.55
2011-03-20,2894.49
2011-03-27,2433.7599999999998
2011-04-03,3477.08
2011-04-10,2144.38
2011-04-17,2646.32
2011-04-24,2133.31
2011-05-01,1495.82
2011-05-08,3439.72
2011-05-15,3473.39
2011-05-22,2260.74
2011-05-29,2191.55
2011-06-05,1977.74
2011-06-12,2535.25
2011-06-19,2339.93
2011-06-26,1690.44
2011-07-03,1746.83
2011-07-10,2567.04
2011-07-17,1485.16
2011-07-24,3820.27
2011-07-31,1251.13
2011-08-07,2843.56
2011-08-14,2611.69
2011-08-21,2425.36
2011-08-28,2357.79
2011-09-04,1446.1299999999999
2011-09-11,2271.68
2011-09-18,1986.96
2011-09-25,2210.33
2011-10-02,1298.56
2011-10-09,3831.55
2011-10-16,1949.8
2011-10-23,1693.66
2011-10-30,2043.98
2011-11-06,1910.07
2011-11-13,3006.0
2011-11-20,2746.08
2011-11-27,4120.85
2011-12-04,3512.56
2011-12-11,3541.2599999999998
