ds,y
2010-12-05,7590.45
2010-12-12,10147.49
2010-12-19,5088.12
2010-12-26,3278.7
2011-01-09,2956.5099999999998
2011-01-16,2186.2599999999998
2011-01-23,1473.21
2011-01-30,1701.03
2011-02-06,1348.95
2011-02-13,1809.24
2011-02-20,3562.29
2011-02-27,1602.33
2011-03-06,3695.4
2011-03-13,2552.25
2011-03-20,3186.0499999999997
2011-03-27,4286.07
2011-04-03,3335.5
2011-04-10,3528.45
2011-04-17,4157.58
2011-04-24,2309.25
2011-05-01,3402.87
2011-05-08,1987.8
2011-05-15,3662.94
2011-05-22,2614.75
2011-05-29,1625.61
2011-06-05,2713.5
2011-06-12,2328.69
2011-06-19,1127.8
2011-06-26,1603.35
2011-07-03,1159.92
2011-07-10,1712.88
2011-07-17,2489.3999999999996
2011-07-24,3651.87
2011-07-31,3176.3099999999995
2011-08-07,1754.55
2011-08-14,1582.44
2011-08-21,1827.9299999999998
2011-08-28,1836.84
2011-09-04,1280.34
2011-09-11,1309.02
2011-09-18,2371.2
2011-09-25,1412.76
2011-10-02,1699.65
2011-10-09,3641.13
2011-10-16,1706.37
2011-10-23,1211.46
2011-10-30,1500.81
2011-11-06,2918.5499999999997
2011-11-13,2204.0099999999998
2011-11-20,2011.62
2011-11-27,2689.7999999999997
2011-12-04,2756.79
2011-12-11,3505.2
