ds,y
2010-12-05,169550.5
2010-12-12,303552.03
2010-12-19,198597.17
2010-12-26,76569.28
2011-01-09,116114.0
2011-01-16,147688.38
2011-01-23,181925.48
2011-01-30,97980.42
2011-02-06,109837.89
2011-02-13,92585.26
2011-02-20,110220.15
2011-02-27,116043.61
2011-03-06,96633.27
2011-03-13,115515.92
2011-03-20,134222.15
2011-03-27,131969.69
2011-04-03,156816.03
2011-04-10,106982.62
2011-04-17,135457.781
2011-04-24,129630.2
2011-05-01,80322.45
2011-05-08,130340.89
2011-05-15,162544.89
2011-05-22,181466.07
2011-05-29,140186.28
2011-06-05,98562.92
2011-06-12,195326.69
2011-06-19,138720.18
2011-06-26,109088.7
2011-07-03,113738.29
2011-07-10,158338.47
2011-07-17,115853.5
2011-07-24,168650.44
2011-07-31,142123.221
2011-08-07,147672.54
2011-08-14,144232.77
2011-08-21,132737.88
2011-08-28,134751.94
2011-09-04,129302.26
2011-09-11,154349.06
2011-09-18,208903.78
2011-09-25,276111.681
2011-10-02,188696.571
2011-10-09,276584.07
2011-10-16,185791.44
2011-10-23,199877.43
2011-10-30,211876.04
2011-11-06,268039.59
2011-11-13,333134.87
2011-11-20,331894.98
2011-11-27,276988.69
2011-12-04,292434.63
2011-12-11,468687.04000000004
